gene,rate
YBR177C,1.644214470299794e-06
YIL140W,1.6492289038056771e-06
YLR268W,1.8442848623701886e-06
YOR011W,2.686819903349554e-07
YLR357W,1.1739264043669816e-06
YJL155C,1.4903519297085257e-06
YHR067W,6.017500196364509e-07
YAL008W,3.024408952932467e-06
YOR043W,7.775814451344918e-07
YBR255W,6.376903633872359e-07
YFR027W,1.6104879491734155e-06
YBR128C,6.843808298654987e-07
YCR093W,7.26490892997905e-07
YAL056W,3.425057666462867e-07
YGR027C,4.842809775695404e-06
YJR122W,8.320529945162133e-07
YFR043C,1.8475261531276112e-06
YDR459C,2.411590929917387e-07
YLR244C,2.7895063367435914e-06
YNL003C,7.715577703829515e-07
YJR084W,9.585213387155293e-07
YBR135W,2.1490872555069e-06
YLR233C,2.1120420777890527e-07
YBR160W,2.462836682614076e-06
YBR070C,9.515516212225516e-07
YLR313C,4.007326305567137e-07
YDL238C,3.846414354017657e-07
YJL082W,1.0068396217512825e-06
YHR007C,2.263369296768004e-06
YIL095W,1.0022949035675756e-06
YIR004W,1.5140276615605242e-06
YPL191C,1.0721450282554812e-06
YKL190W,2.040754660587257e-06
YLR182W,1.1493621876059882e-06
YGL084C,1.255728659841599e-06
YLR348C,1.0200919348495465e-06
YBR248C,2.4221109664432153e-06
YNR067C,1.276580811017808e-06
YNL152W,1.0675279534287226e-06
YLR382C,6.890844813108724e-07
YKL063C,2.8764313339537538e-06
YFL045C,4.25712319948467e-06
YFL010C,3.7280822850203783e-06
YDR141C,6.514629506262065e-07
YJL131C,1.222688860849715e-06
YDL170W,6.896444531565472e-07
YIL124W,2.1118660263357684e-06
YER113C,5.742519499164187e-07
YJR044C,2.1961316981043253e-06
YJR011C,1.0161418986532003e-06
YPL039W,8.534656141501396e-07
YFR008W,2.0684022224469558e-06
YLR129W,1.1989079923052352e-06
YGL141W,1.0257266757609037e-06
YMR009W,2.034751130591927e-06
YDR168W,2.4956068526433255e-06
YJL179W,3.0674949323843955e-06
YJL122W,2.5054913937077998e-06
YKL183W,1.3250378597749714e-06
YDR363W,7.985690327430397e-07
YFL021W,9.706385954304422e-07
YLR362W,1.2630874396693846e-06
YKL126W,1.3425218687977072e-06
YMR283C,6.941410623384324e-07
YPL024W,7.116487290833271e-07
YKL134C,8.411572698508426e-07
YER105C,6.466131691427417e-07
YDR090C,1.2465520776538044e-06
YJR112WA,1.0028507497272154e-06
YCL017C,1.8046992083145041e-06
YIL108W,1.120007051568333e-06
YPL166W,1.3904272360744711e-06
YKL052C,9.817888626598962e-07
YBR084W,1.074355185718801e-06
YBR273C,1.761921193422317e-06
YFR005C,8.432630197743728e-07
YHL036W,4.5441330961754826e-07
YDR329C,9.551751187389415e-07
YAL026C,6.467538678380112e-07
YOL034W,5.898556704940971e-07
YLR385C,1.2339544803850517e-06
YFR050C,2.2540891182653185e-06
YBL008W,7.50185093103381e-07
YLR079W,1.1569524746204557e-06
YLR447C,1.73984419441521e-06
YGL237C,2.156095330821887e-06
YGR126W,1.5811351665159342e-06
YIL062C,2.4186722712752054e-06
YNL295W,7.108318491594852e-07
YAR035W,2.923596058585757e-07
YOL126C,1.732784997165827e-06
YAR019C,4.842394422517735e-07
YDR299W,2.508040684923364e-06
YOL116W,9.125467768983728e-07
YGL255W,1.2519931491194258e-06
YJL149W,1.2676046085135372e-06
YML129C,3.722112246087206e-06
YGL257C,4.6333480166423096e-07
YDR196C,1.4224039544005327e-06
YBR202W,1.2011852022475665e-06
YER023W,2.024817357744604e-06
YNL239W,1.8871714836147857e-06
YDR410C,9.237842110340331e-07
YBR280C,1.0683520041298692e-06
YGR020C,2.479461129709521e-06
YNR045W,6.714131374899693e-07
YKL148C,1.826275709751544e-06
YML105C,2.5142100279958156e-06
YBR026C,2.228460055100537e-06
YNL288W,1.4521029705395356e-06
YIL091C,1.39268164046913e-06
YOR322C,5.026238891247754e-07
YKR061W,2.3293480312773e-07
YML092C,2.4469465882826695e-06
YBR193C,1.393411928982943e-06
YPL104W,7.068847574415239e-07
YNL103W,9.238488559687439e-07
YAL046C,1.5113910630053184e-06
YDR198C,9.890615608250926e-07
YAL039C,3.0601887364485642e-06
YNR018W,1.9407022304694813e-06
YKL059C,1.413418742541694e-06
YCR034W,1.793390066267837e-06
YFR047C,1.9682623893924385e-06
YBR215W,1.5901779356459998e-06
YIL106W,2.006641105470733e-06
YPL252C,2.04745757753394e-06
YPL183WA,2.7210226444513587e-06
YBR159W,1.8557489665678628e-06
YCL039W,9.198509541830202e-07
YML127W,1.0809488749493121e-06
YCL030C,1.8494714888265601e-06
YHR078W,3.8049546446234225e-07
YGR084C,1.3347252748325954e-06
YDR286C,1.3753797180848487e-06
YFR018C,6.436599900861894e-07
YDR399W,2.448984904297367e-06
YGR028W,9.406486199703123e-07
YAL036C,2.38545607643982e-06
YLR355C,5.919615762291925e-06
YLR455W,9.60928310729178e-07
YGL157W,2.275356889079267e-06
YGR099W,5.475390418592331e-07
YBL015W,2.0076317872976184e-06
YGR128C,1.61004763544841e-06
YOL090W,1.1870908774916013e-06
YLR300W,2.035473155099036e-06
YNL145W,5.7782853220559916e-06
YJL091C,1.1642888590999032e-06
YJR140C,5.419014828596755e-07
YGR146C,9.821752502690673e-07
YOR033C,4.097084511033681e-07
YOR062C,8.554575912250653e-07
YAL034WA,1.6680194589854572e-06
YNR021W,1.7556141815716755e-06
YBR043C,3.479582898834724e-07
YDR380W,1.5454202368059772e-06
YGL100W,1.2893808906782485e-06
YBR094W,1.3560388818346412e-06
YMR244CA,2.653822354165753e-06
YHR112C,1.6630487393435996e-06
YGR142W,1.2641042814591457e-06
YNR007C,2.426083664468207e-06
YDR035W,2.336377645229644e-06
YGR042W,6.413960445366921e-07
YDR485C,1.075939669700393e-06
YLR011W,1.7886415159694185e-06
YIL044C,1.3835637414293786e-06
YPL239W,2.71265619236418e-06
YPR183W,3.0940144771774884e-06
YOR206W,1.6652989323883798e-06
YDL073W,3.4151027963119455e-07
YBL042C,1.1741666901249844e-06
YCR046C,1.2385769013103434e-06
YLR059C,1.4201451827168912e-06
YOL001W,3.893935531998175e-07
YLR187W,1.1746078093069855e-06
YBR054W,2.8582387177205702e-06
YDR059C,1.8856430289066086e-06
YPL224C,8.834344009692595e-07
YLR137W,7.950597700816606e-07
YLR020C,7.943877229414087e-07
YNL217W,9.142189196435331e-07
YKL204W,2.0689064759953926e-06
YER067W,2.376778497107554e-06
YDL042C,1.0493674383709825e-06
YMR226C,2.7417851387218155e-06
YPL248C,3.3904929550555674e-07
YDR531W,1.1611288438742338e-06
YFR024CA,1.95924331831644e-06
