#,ORF,Gene,chan7,chan8,chan9,chan10,chan11,chan12,Avg,Stdev,inter-channel CV,inter-prep CV,MA,Nagal.,Type
46,YAL041W,CDC24,"59,4","60,1","59,8","64,8","64,4","65,8","62,38","2,91","0,6%","4,8%",821,"32,5", Verified ORF
47,YAL042C-A,YAL042C-A,"0,2",0,0,"0,1","0,2","0,1","0,1","0,09","173,2%","43,3%",,, Dubious ORF
48,YAL042W,ERV46,"166,3",162,"162,3","165,2","157,7","165,1","163,1","3,15","1,5%","3,5%",2.167,111, Verified ORF
49,YAL043C,PTA1,45,"45,7","42,2","45,2","44,9","44,4","44,57","1,23","4,2%","2,7%",821,9, Verified ORF
50,YAL044C,GCV3,"390,4","393,9","402,4","376,8","399,8","379,7","390,5","10,43","1,6%","2,2%",1.444,, Verified ORF
51,YAL044W-A,YAL044W-A,"68,7","67,4","71,1","73,2","67,6","74,2","70,37","2,92","2,7%","3,9%",277,, Uncharacterized ORF
52,YAL045C,YAL045C,"1,3",1,"1,4",1,"1,6","1,3","1,27","0,23","16,9%","19,9%",,, Dubious ORF
53,YAL046C,YAL046C,"53,3","53,1","49,7","52,4",50,"50,4","51,48","1,63","3,9%","3,7%",194,"43,5", Uncharacterized ORF
54,YAL047C,SPC72,21,"21,7","22,1","23,9","23,6","21,2","22,25","1,23","2,6%","6,7%",328,, Verified ORF
55,YAL047W-A,YAL047W-A,"3,4","2,5","3,4","2,8","4,1","2,2","3,07","0,7","16,8%","12,8%",,, Dubious ORF
56,YAL048C,GEM1,"17,7",17,16,"18,3","17,2","17,9","17,35","0,81","5,1%","4,0%",192,11, Verified ORF
57,YAL049C,YAL049C,"68,9","67,4","64,7","70,2","66,3","68,7","67,7","1,99","3,2%","1,0%",971,"56,5", Uncharacterized ORF
58,YAL051W,OAF1,"32,8","32,4","33,6","32,7","34,2",33,"33,12","0,66","1,9%","2,2%",475,3, Verified ORF
59,YAL053W,FLC2,"113,5",110,"111,3","111,4","114,9","109,7","111,8","2,03","1,6%","1,9%",2.189,41, Verified ORF
60,YAL054C,ACS1,"39,9","40,2","37,8","35,9","38,5",38,"38,38","1,57","3,3%","5,5%",196,20, Verified ORF
61,YAL055W,PEX22,"56,4","55,1","55,1","54,2",51,"54,7","54,42","1,83","1,4%","2,9%",533,17, Verified ORF
62,YAL056C-A,YAL056C-A,"0,3","0,4","0,2","0,2","0,1","0,3","0,25","0,1","33,3%","50,0%",,, Dubious ORF
63,YAL056W,GPB2,"50,6","49,9","48,2","47,2","50,8","51,1","49,63","1,58","2,5%","6,8%",683,18, Verified ORF
64,YAL058W,CNE1,"25,5","26,4","25,9","24,1","26,2",26,"25,68","0,83","1,7%","2,8%",406,, Verified ORF
65,YAL059C-A,YAL059C-A,"0,8","0,2","0,6","0,2","0,1","0,6","0,42","0,29","57,3%","60,0%",,, Dubious ORF
66,YAL059W,ECM1,69,"67,1","65,5","70,1","71,6",73,"69,38","2,79","2,6%","2,4%",1.164,"24,5", Verified ORF
67,YAL060W,BDH1,"66,1","61,2","61,8","65,5","65,3","65,9","64,3","2,2","4,2%","1,9%",1.085,81, Verified ORF
68,YAL061W,BDH2,"20,2","20,4","21,4","19,1","19,1","19,8",20,"0,87","3,1%","3,8%",148,59, Uncharacterized ORF
69,YAL062W,GDH3,"29,9",30,"30,4","28,3","32,9","29,7","30,2","1,5","0,9%","4,1%",254,10, Verified ORF
70,YAL063C,FLO9,"2,7","1,6","3,4","3,4","4,7","5,7","3,58","1,45","35,4%","20,6%",350,, Verified ORF
71,YAL063C-A,YAL063C-A,"5,3","6,5","4,9","6,1","4,6",5,"5,4","0,74","15,0%","8,9%",191,1, Uncharacterized ORF
72,YAL064C-A,YAL064C-A,0,"0,1","0,1","0,1","0,2","0,1","0,1","0,06","86,6%","114,6%",10,, Uncharacterized ORF
73,YAL064W,YAL064W,"2,1",3,"2,3","2,5","2,8",3,"2,62","0,38","19,2%","11,0%",59,, Verified ORF
74,YAL064W-B,YAL064W-B,"3,6","3,1","3,4","3,9","3,2","3,9","3,52","0,34","7,5%","11,4%",73,, Uncharacterized ORF
75,YAL065C,YAL065C,"1,6",1,"0,5","0,6","0,1","0,7","0,75","0,51","53,3%","74,2%",29,1, Uncharacterized ORF
76,YAL066W,YAL066W,"0,9","0,8","0,5","0,4","0,8","0,9","0,72","0,21","28,4%","39,7%",,1, Dubious ORF
77,YAL067C,SEO1,"18,7","17,2","15,4","17,1","15,5","17,1","16,83","1,23","9,7%","9,7%",196,3, Verified ORF
78,YAL067W-A,YAL067W-A,"0,1",0,0,0,0,0,"0,02","0,04","173,2%","173,2%",4,, Uncharacterized ORF
79,YAL068C,YAL068C,0,0,0,0,"0,2","0,2","0,07","0,1",N/A,N/A,453,, Uncharacterized ORF
80,YAR002C-A,ERP1,226,"221,6","220,4","251,2",243,"244,5","234,45","13,33","1,3%","5,6%",1.704,"32,5", Verified ORF
81,YAR002W,NUP60,"78,1","81,6","86,1",81,86,"80,6","82,23","3,19","4,9%","5,3%",1.480,"21,5", Verified ORF
82,YAR003W,SWD1,"34,5","36,4","34,2","35,3","33,8","31,8","34,33","1,55","3,4%","5,4%",317,"12,5", Verified ORF
83,YAR007C,RFA1,"46,4","42,4","44,1","42,7",44,"46,1","44,28","1,67","4,5%","6,5%",996,"102,5", Verified ORF
84,YAR008W,SEN34,"34,1","32,1","33,6","39,1",35,"32,7","34,43","2,5","3,1%","7,1%",349,4, Verified ORF
85,YAR009C,YAR009C,11,"11,4","12,9","13,6","12,1","12,1","12,18","0,95","8,5%","24,0%",182,, transposable_element_gene
86,YAR010C,YAR010C,0,0,0,0,0,0,0,0,N/A,N/A,5.435,, transposable_element_gene
87,YAR014C,BUD14,"77,7","77,9","75,5","75,5","73,9","74,5","75,83","1,64","1,7%","3,7%",1.304,"45,5", Verified ORF
88,YAR015W,ADE1,300,"299,4","299,7","296,1","292,2",300,"297,9","3,16","0,1%","1,7%",2.714,"138,5", Verified ORF
89,YAR018C,KIN3,26,"27,3","25,2","29,4","27,3","28,4","27,27","1,53","4,1%","6,1%",266,"53,5", Verified ORF
90,YAR019C,CDC15,"19,8","18,8","19,7",19,"19,7","20,5","19,58","0,61","2,8%","2,7%",459,"15,5", Verified ORF
91,YAR019W-A,YAR019W-A,"5,6","5,6","6,3","7,5","6,5","6,8","6,38","0,73","6,9%","17,6%",,1, Dubious ORF
92,YAR020C,PAU7,"13,3","12,9","12,1","14,2","13,1","12,9","13,08","0,68","4,8%","10,5%",416,, Verified ORF
93,YAR023C,YAR023C,"6,9","7,5",8,"8,3","9,1","6,8","7,77","0,88","7,4%","10,3%",157,6, Uncharacterized ORF
94,YAR027W,UIP3,0,0,0,0,0,0,0,0,N/A,N/A,3,"28,5", Verified ORF
95,YAR028W,YAR028W,"0,1","0,2",0,0,0,0,"0,05","0,08","100,0%","173,2%",9,20, Uncharacterized ORF
96,YAR029W,YAR029W,0,0,0,0,0,0,0,0,N/A,N/A,7,, Uncharacterized ORF
97,YAR030C,YAR030C,"0,1",0,"0,1",0,0,0,"0,03","0,05","86,6%","86,6%",,, Dubious ORF
98,YAR031W,PRM9,0,0,0,0,0,0,0,0,N/A,N/A,7,, Verified ORF
99,YAR033W,MST28,0,0,0,0,0,0,0,0,N/A,N/A,8,, Verified ORF
100,YAR035C-A,YAR035C-A,"0,2","0,3","0,2","0,2","0,9","0,5","0,38","0,28","24,7%","57,7%",2,, Uncharacterized ORF
101,YAR035W,YAT1,0,"0,1",0,0,"0,1","0,1","0,05","0,05","173,2%",N/A,3,, Verified ORF
102,YAR042W,SWH1,"0,1","0,2",0,"0,1",0,0,"0,07","0,08","100,0%","86,6%",1,"12,5", Verified ORF
