#,ORF,Gene,chan7,chan8,chan9,chan10,chan11,chan12,Avg,Stdev,inter-channel CV,inter-prep CV,MA,Nagal.,Type
1746,YER083C,GET2,"118,7","116,5","119,8","110,4","117,5","117,5","116,73","3,3","1,4%","3,9%",804,113, Verified ORF
1747,YER084W,YER084W,"18,3","17,2","15,8","15,1","16,4","16,4","16,53","1,11","7,3%","12,3%",,1, Dubious ORF
1748,YER084W-A,YER084W-A,"4,3","3,9",4,"3,5",3,3,"3,62","0,54","5,1%","12,1%",,, Dubious ORF
1749,YER085C,YER085C,"1,2","1,1","0,8","0,8",1,1,"0,98","0,16","20,1%","36,6%",20,, Uncharacterized ORF
1750,YER086W,ILV1,"323,7","318,9","310,8","309,1","318,7","314,7","315,98","5,5","2,1%","2,4%",2.645,"60,5", Verified ORF
1751,YER087C-A,YER087C-A,"9,7","10,8","7,6","12,6","13,3","11,3","10,88","2,06","17,4%","17,1%",,, Dubious ORF
1752,YER087C-B,SBH1,"353,6",351,"348,4",355,"361,6","360,2","354,97","5,14","0,7%","0,9%",1.677,"190,5", Verified ORF
1753,YER087W,YER087W,"26,9","21,7","25,6","22,1","21,4","20,8","23,08","2,52","10,9%","9,8%",309,, Uncharacterized ORF
1754,YER088C,DOT6,"193,5",195,"189,9","191,9","196,2","186,5","192,17","3,56","1,4%","5,3%",1.983,"74,5", Verified ORF
1755,YER088C-A,YER088C-A,"18,4",20,"18,2","18,8","17,5",20,"18,82","1,01","5,2%","6,1%",,3, Dubious ORF
1756,YER088W-B,YER088W-B,"2,3","2,3","2,2","2,5",2,"1,2","2,08","0,46","2,5%","13,7%",,, Dubious ORF
1757,YER089C,PTC2,"58,2","54,9","53,2","51,6","50,6","56,8","54,22","2,97","4,6%","6,9%",1.507,, Verified ORF
1758,YER090C-A,YER090C-A,"0,1",0,0,0,0,"0,2","0,05","0,08","173,2%","173,2%",,, Dubious ORF
1759,YER090W,TRP2,"202,9","199,5","202,7","208,2","195,6","209,1",203,"5,13","0,9%","2,3%",2.157,"44,5", Verified ORF
1760,YER091C,MET6,"494,2","491,3","498,1","490,2","482,9","492,7","491,57","5,06","0,7%","2,4%",3.685,284, Verified ORF
1761,YER091C-A,YER091C-A,"2,3","2,2",3,"2,1","2,2","2,2","2,33","0,33","17,4%","26,9%",,1, Dubious ORF
1762,YER092W,IES5,"58,3","57,4",59,"56,6","56,8","60,9","58,17","1,62","1,4%","5,0%",404,, Verified ORF
1763,YER093C,TSC11,"28,6","28,3","28,3","30,3","29,7","29,7","29,15","0,86","0,6%","4,1%",441,, Verified ORF
1764,YER094C,PUP3,"239,4","233,5","237,2","238,3","226,6","232,6","234,6","4,75","1,3%","1,4%",1.472,"286,5", Verified ORF
1765,YER095W,RAD51,51,"50,5","51,9","52,9","48,9","53,9","51,52","1,78","1,4%","4,6%",702,12, Verified ORF
1766,YER096W,SHC1,"4,6","4,6","4,7","3,9","4,2","4,2","4,37","0,31","1,2%","9,1%",46,1, Verified ORF
1767,YER097W,YER097W,"32,7","30,1","29,1","27,6","35,4","30,5","30,9","2,77","6,1%","8,6%",,, Dubious ORF
1768,YER098W,UBP9,"20,9","23,8","21,8",20,"19,1","21,4","21,17","1,62","6,7%","9,0%",186,13, Verified ORF
1769,YER099C,PRS2,"73,8",78,"76,2","79,4","71,2","79,7","76,38","3,36","2,8%","4,4%",686,"116,5", Verified ORF
1770,YER100W,UBC6,"102,3","98,2","104,9","102,4",105,"106,2","103,17","2,88","3,3%","1,0%",622,50, Verified ORF
1771,YER101C,AST2,24,"20,9","22,2",24,"21,5","22,4","22,5","1,28","7,0%","7,3%",225,11, Verified ORF
1772,YER102W,RPS8B,"908,7","913,9","908,1",815,"856,4","811,4","868,92","47,99","0,4%","5,8%",6.494,1606, Verified ORF
1773,YER103W,SSA4,38,"38,6","39,4","38,8","37,4","38,9","38,52","0,71","1,8%","1,0%",705,"313,5", Verified ORF
1774,YER104W,RTT105,"8,9","9,1","8,5","9,6",9,"8,9",9,"0,36","3,5%","4,3%",66,5, Verified ORF
1775,YER105C,NUP157,"66,7","65,6","62,2","62,6","66,9","69,6","65,6","2,81","3,6%","4,3%",877,26, Verified ORF
1776,YER106W,MAM1,9,"7,4","7,8","6,6","7,3","8,3","7,73","0,84","10,3%","15,4%",96,"4,5", Verified ORF
1777,YER107C,GLE2,"67,5","69,2","75,2","75,7","68,9","76,1","72,1","3,96","5,7%","5,8%",1.413,29, Verified ORF
1778,YER107W-A,YER107W-A,"0,2","0,1","0,1","0,1","0,2","0,2","0,15","0,05","43,3%","43,3%",,"38,5", Dubious ORF
1779,YER109C,FLO8,"27,8","27,8","25,9",25,"25,7","26,3","26,42","1,15","4,0%","5,3%",361,4, Verified ORF
1780,YER110C,KAP123,181,"184,5","188,7","187,2","189,1","187,4","186,32","3,06","2,1%","2,0%",3.344,35, Verified ORF
1781,YER111C,SWI4,"15,7","17,3","16,6","18,8","19,7","18,1","17,7","1,47","4,9%","9,1%",100,6, Verified ORF
1782,YER112W,LSM4,"109,8","98,1","102,1","108,5","104,9","105,6","104,83","4,28","5,8%","9,1%",763,"30,5", Verified ORF
1783,YER113C,YER113C,"51,7","53,8","49,7","53,3","52,2","53,5","52,37","1,54","4,0%","1,6%",541,5, Uncharacterized ORF
1784,YER114C,BOI2,"37,2","36,5",39,"39,6","37,7","39,8","38,3","1,36","3,4%","4,2%",686,8, Verified ORF
1785,YER115C,SPR6,"27,6","30,1","29,3","27,7","28,3","28,3","28,55","0,97","4,4%","1,2%",584,"19,5", Verified ORF
1786,YER116C,SLX8,"18,3","16,3","17,2","16,3","17,2","14,8","16,68","1,18","5,8%","9,4%",138,6, Verified ORF
1787,YER118C,SHO1,"95,1","91,6","92,2","85,1","85,3","88,5","89,63","4,02","2,0%","6,8%",877,37, Verified ORF
1788,YER119C,AVT6,"28,3","27,3","26,8","28,9","25,8","25,1","27,03","1,45","2,8%","5,7%",297,14, Verified ORF
1789,YER119C-A,YER119C-A,0,0,"0,2",0,0,"0,1","0,05","0,08","173,2%","173,2%",,, Dubious ORF
1790,YER120W,SCS2,"311,8","322,6","319,3","306,2","314,3","307,1","313,55","6,55","1,7%","2,5%",2.176,"213,5", Verified ORF
1791,YER121W,YER121W,"13,2","12,2","13,1",12,"11,5","11,9","12,32","0,69","4,3%","7,1%",,"8,5", Uncharacterized ORF
1792,YER122C,GLO3,"168,6","169,7","177,5","174,7","166,2","167,8","170,75","4,39","2,8%","2,1%",1.703,25, Verified ORF
1793,YER123W,YCK3,"54,1","51,2","58,3","53,8","54,7",55,"54,52","2,29","6,5%","0,5%",956,"11,5", Verified ORF
1794,YER124C,DSE1,"132,7","123,7",130,"126,5","124,4","123,4","126,78","3,8","3,6%","4,7%",779,"71,5", Verified ORF
1795,YER125W,RSP5,"94,6",94,"94,7",97,"89,2","88,4","92,98","3,41","0,4%","1,3%",2.478,"23,5", Verified ORF
1796,YER126C,NSA2,"150,6","151,1","147,6","152,7",145,"154,9","150,32","3,55","1,3%","1,4%",1.285,19, Verified ORF
1797,YER127W,LCP5,"92,4","86,1","86,3","90,2","88,5","91,4","89,15","2,63","4,1%","2,6%",1.057,27, Verified ORF
1798,YER128W,YER128W,"26,7","28,6",26,"30,4","30,1",30,"28,63","1,89","5,0%","6,5%",165,"8,5", Uncharacterized ORF
1799,YER129W,SAK1,"43,5","47,4","44,3",47,"44,4","45,4","45,33","1,57","4,6%","4,8%",152,6, Verified ORF
1800,YER130C,YER130C,"94,4","92,1","89,7","88,9","86,4","92,1","90,6","2,84","2,6%","3,1%",767,"50,5", Uncharacterized ORF
1801,YER131W,RPS26B,"573,4","553,3","577,8","551,3","580,1",560,"565,98","12,7","2,3%","2,0%",7.642,"958,5", Verified ORF
1802,YER132C,PMD1,"44,4",42,"41,1","46,8","44,9","45,4","44,1","2,15","4,0%","2,8%",518,"9,5", Verified ORF
1803,YER133W-A,YER133W-A,0,"0,2","0,1","0,1","0,2","0,2","0,13","0,08","100,0%","100,0%",,, Dubious ORF
1804,YER134C,YER134C,"51,7","50,4","48,7","52,6",54,"54,2","51,93","2,13","3,0%","2,2%",234,, Uncharacterized ORF
1805,YER135C,YER135C,"0,8",1,"0,9","0,4",1,"0,6","0,78","0,24","11,1%","34,6%",,1, Dubious ORF
1806,YER136W,GDI1,"157,2","162,6","159,4","163,7","165,9","171,3","163,35","4,98","1,7%","4,2%",2.406,"94,5", Verified ORF
1807,YER137C,YER137C,17,"19,4","20,3","21,7","19,5","18,8","19,45","1,56","9,0%","19,7%",165,10, Uncharacterized ORF
1808,YER137C-A,YER137C-A,0,0,0,0,0,0,0,0,N/A,N/A,,, transposable_element_gene
1809,YER137W-A,YER137W-A,"0,2","0,9","0,8","0,8","0,3","0,7","0,62","0,29","59,8%","57,3%",,, Dubious ORF
1810,YER138C,YER138C,218,"224,3","216,3","254,9",254,"246,6","235,68","18,12","1,9%","8,6%",,, transposable_element_gene
1811,YER138W-A,YER138W-A,"18,5","22,3","21,5","18,3","17,4","16,5","19,08","2,31","9,6%","6,7%",8.130,, Uncharacterized ORF
1812,YER139C,YER139C,"14,8","13,7","13,8",15,"14,4","15,4","14,52","0,68","4,3%","4,2%",183,11, Uncharacterized ORF
1813,YER140W,YER140W,"26,8","27,6","29,7","32,1","31,3","29,1","29,43","2,05","5,3%","9,0%",442,8, Uncharacterized ORF
1814,YER141W,COX15,"105,9",103,101,"103,6","95,2","108,7","102,9","4,61","2,4%","1,8%",1.393,"28,5", Verified ORF
1815,YER142C,MAG1,"60,2","61,9","63,9","58,3","58,8",64,"61,18","2,48","3,0%","3,7%",823,"9,5", Verified ORF
1816,YER143W,DDI1,58,"63,5","59,3","57,2","56,9","63,1","59,67","2,94","4,8%","3,7%",275,33, Verified ORF
1817,YER144C,UBP5,"38,2","32,7","37,8","33,8","37,9","39,4","36,63","2,7","8,5%","8,2%",417,16, Verified ORF
1818,YER145C,FTR1,"120,5","113,4",126,"117,8","125,1","121,9","120,78","4,7","5,3%","2,4%",1.192,41, Verified ORF
1819,YER145C-A,YER145C-A,"1,1","0,7",1,1,"1,5","1,3","1,1","0,28","22,3%","10,0%",,1, Dubious ORF
1820,YER146W,LSM5,"174,9","182,5",181,"175,5","178,6","180,7","178,87","3,11","2,2%","12,2%",440,, Verified ORF
1821,YER147C,SCC4,"21,5","20,2","21,5","23,7","21,6","20,4","21,48","1,24","3,6%","5,1%",487,"9,5", Verified ORF
1822,YER147C-A,YER147C-A,"0,1","0,2","0,1","0,1",0,0,"0,08","0,08","43,3%","43,3%",,, Dubious ORF
1823,YER148W,SPT15,165,"163,2","166,6","170,8","165,3","170,8","166,95","3,17","1,0%","1,7%",2.711,"146,5", Verified ORF
1824,YER148W-A,YER148W-A,"11,3","11,8","11,6","13,6",13,"11,7","12,17","0,91","2,2%","15,2%",,, Dubious ORF
1825,YER149C,PEA2,"37,7",41,"35,7","36,7","38,7","39,2","38,17","1,89","7,0%","6,8%",453,, Verified ORF
1826,YER150W,SPI1,"47,1","47,1","47,2","46,2","45,3",43,"45,98","1,64","0,1%","11,7%",505,"332,5", Verified ORF
1827,YER151C,UBP3,"87,2","90,4",91,"86,1","80,3","85,4","86,73","3,88","2,3%","2,5%",1.235,60, Verified ORF
1828,YER152C,YER152C,"41,4","44,4","44,7","43,7","43,7","45,6","43,92","1,42","4,2%","3,6%",656,"188,5", Uncharacterized ORF
1829,YER152W-A,YER152W-A,0,"0,1","0,3",0,"0,1",0,"0,08","0,12","114,6%",N/A,,, Dubious ORF
1830,YER153C,PET122,"6,8","6,5","6,1","5,6","6,7","6,2","6,32","0,44","5,4%","19,6%",71,, Verified ORF
1831,YER154W,OXA1,"73,2","81,9","78,4","78,3","81,4","73,2","77,73","3,81","5,6%","5,4%",352,"74,5", Verified ORF
1832,YER155C,BEM2,"151,4",155,"158,8","154,3","157,9","156,1","155,58","2,66","2,4%","3,1%",1.505,53, Verified ORF
1833,YER156C,YER156C,"104,3",103,"101,2","102,8","102,4","105,9","103,27","1,63","1,5%","4,7%",1.622,"50,5", Uncharacterized ORF
1834,YER157W,COG3,40,41,"37,8","39,5","41,2","41,8","40,22","1,45","4,1%","9,2%",340,"12,5", Verified ORF
1835,YER158C,YER158C,"45,5","41,8",47,47,"44,6","45,2","45,18","1,92","6,0%","3,5%",894,"6,5", Uncharacterized ORF
1836,YER158W-A,YER158W-A,"3,9","4,1","2,9","4,4","3,4","1,8","3,42","0,95","17,7%","9,0%",,, Dubious ORF
1837,YER159C,BUR6,"115,6","121,1","122,1","122,4","120,2","124,7","121,02","3,06","2,9%","3,6%",1.324,, Verified ORF
1838,YER159C-A,YER159C-A,0,0,0,0,0,0,0,0,N/A,N/A,,, transposable_element_gene
1839,YER160C,YER160C,"63,2","69,3","62,8","65,4","71,6","59,4","65,28","4,5","5,6%","22,0%",,, transposable_element_gene
1840,YER161C,SPT2,"46,9","45,4","47,9","47,2","44,4","43,3","45,85","1,79","2,7%","0,4%",242,12, Verified ORF
1841,YER162C,RAD4,"25,6","26,3","24,6","25,6","21,2","25,3","24,77","1,83","3,4%","5,5%",296,8, Verified ORF
1842,YER163C,YER163C,"58,1","57,9","56,5","57,9","59,5","57,1","57,83","1,02","1,5%","1,5%",482,"81,5", Uncharacterized ORF
1843,YER164W,CHD1,"49,5","46,6","48,8","48,8","45,6","52,6","48,65","2,44","3,1%","0,7%",775,25, Verified ORF
1844,YER165C-A,YER165C-A,0,"0,1","0,1",0,0,0,"0,03","0,05","86,6%",N/A,,1, Dubious ORF
1845,YER165W,PAB1,"929,2","913,2","925,2","1042,4","1029,3","1035,2","979,08","62,31","0,9%","6,0%",5.970,277, Verified ORF
1846,YER166W,DNF1,79,"78,6","80,5","77,1","78,3","78,3","78,63","1,11","1,3%","2,8%",1.219,"24,5", Verified ORF
1847,YER167W,BCK2,98,"98,2","98,1","97,3",105,"102,5","99,85","3,14","0,1%","4,7%",1.966,"95,5", Verified ORF
1848,YER168C,CCA1,"54,5","55,9","56,6","54,9","52,6","55,1","54,93","1,37","1,9%","1,0%",918,"40,5", Verified ORF
1849,YER169W,RPH1,"57,8","54,2",60,"57,5","55,4","59,4","57,38","2,24","5,1%","1,9%",779,"11,5", Verified ORF
1850,YER170W,ADK2,25,"28,1","29,9","28,2","31,4","28,1","28,45","2,15","9,0%","6,3%",103,19, Verified ORF
1851,YER171W,RAD3,"72,9","65,9","69,2","73,6",73,"68,2","70,47","3,15","5,1%","2,0%",757,"45,5", Verified ORF
1852,YER172C,BRR2,60,"58,4","60,5","60,9","63,1","59,8","60,45","1,55","1,8%","0,9%",749,19, Verified ORF
1853,YER172C-A,YER172C-A,"0,2","0,1",0,0,0,0,"0,05","0,08","100,0%","173,2%",,, Dubious ORF
1854,YER173W,RAD24,"23,4","22,6","23,4","23,9","24,4","23,7","23,57","0,6","2,0%","5,9%",283,7, Verified ORF
1855,YER174C,GRX4,"47,2","50,6","52,9","49,4","51,6","49,6","50,22","1,97","5,7%","4,2%",976,"18,5", Verified ORF
1856,YER175C,TMT1,136,"134,3","137,7","136,8",140,"140,7","137,58","2,43","1,2%","2,4%",1.173,12, Verified ORF
1857,YER175W-A,YER175W-A,"4,9",3,"4,7","5,4","4,9","3,5","4,4","0,93","24,9%","14,9%",10,"9,5", Uncharacterized ORF
1858,YER176W,ECM32,"59,5","58,4","57,2","56,2","54,2","58,1","57,27","1,87","2,0%","4,4%",1.038,21, Verified ORF
1859,YER177W,BMH1,"1354,8","1367,5",1365,"1440,1","1445,5","1452,7","1404,27","46,2","0,5%","3,1%",8.867,"401,5", Verified ORF
1860,YER178W,PDA1,"514,4","516,6","525,2","508,3",510,"517,2","515,28","6,02","1,1%","1,4%",7.353,237, Verified ORF
1861,YER180C,ISC10,"16,9","17,4","19,9","19,2","19,9","19,6","18,82","1,33","8,9%","6,6%",830,13, Verified ORF
1862,YER180C-A,SLO1,"15,2","17,7","16,5","15,8","15,7","17,9","16,47","1,11","7,6%","7,4%",38,3, Verified ORF
1863,YER181C,YER181C,"0,5","0,2","0,5","0,4","0,2","0,5","0,38","0,15","43,3%","12,4%",,1, Dubious ORF
1864,YER182W,YER182W,"36,9","36,7","35,1","37,8","35,8","32,8","35,85","1,76","2,7%","1,3%",390,, Uncharacterized ORF
1865,YER183C,FAU1,"72,4","79,7","77,4","83,5","78,8","77,1","78,15","3,64","4,9%","8,2%",469,, Verified ORF
1866,YER184C,YER184C,9,10,"10,1","12,6","12,1","9,9","10,62","1,41","6,3%","16,7%",158,4, Uncharacterized ORF
1867,YER185W,YER185W,"12,1","12,8",14,"12,5","11,8","11,6","12,47","0,87","7,4%","5,3%",250,3, Uncharacterized ORF
1868,YER186C,YER186C,"55,3","54,6","54,3","51,7","52,9","53,7","53,75","1,29","0,9%","5,9%",944,"31,5", Uncharacterized ORF
1869,YER187W,YER187W,"12,3","12,6","12,7","14,2","11,7","11,6","12,52","0,94","1,7%","7,2%",206,4, Uncharacterized ORF
1870,YER188C-A,YER188C-A,"8,4","9,9","10,2","9,4","10,5","8,7","9,52","0,84","10,2%","14,7%",184,, Uncharacterized ORF
1871,YER188W,YER188W,"13,5","12,3","9,6","10,8","11,7","11,2","11,52","1,33","16,9%","11,3%",,3, Dubious ORF
1872,YER189W,YER189W,"0,3","0,2",0,"0,1",0,"0,4","0,17","0,16","91,7%","69,3%",,, Uncharacterized ORF
1873,YER190C-A,YER190C-A,"0,3","0,1","0,2","0,2","0,2","0,3","0,22","0,08","50,0%","24,7%",,, Dubious ORF
1874,YER190C-B,YER190C-B,0,0,0,0,0,0,0,0,N/A,N/A,,, Uncharacterized ORF
1875,YER190W,YRF1-2,"0,1","0,1","0,3","0,4","0,5","0,3","0,28","0,16","69,3%","57,3%",,, Verified ORF
1876,YFL001W,DEG1,"62,4","59,7","54,6","59,9","60,6","59,2","59,4","2,6","6,7%","2,9%",553,"24,5", Verified ORF
1877,YFL002C,SPB4,"69,2","68,5","66,6","64,9",67,"69,3","67,58","1,73","2,0%","3,3%",444,"23,5", Verified ORF
1878,YFL002W-A,YFL002W-A,"183,8","187,2","185,8","186,4","172,3","184,5","183,33","5,55","0,9%","3,2%",,, transposable_element_gene
1879,YFL002W-B,YFL002W-B,0,0,0,0,0,0,0,0,N/A,N/A,,, transposable_element_gene
1880,YFL003C,MSH4,"8,1","9,1","8,1","8,1","9,6","10,1","8,85","0,88","6,8%","6,2%",84,2, Verified ORF
1881,YFL004W,VTC2,96,"93,3","97,4","99,5","94,7","96,1","96,17","2,15","2,2%","3,1%",1.603,"144,5", Verified ORF
1882,YFL005W,SEC4,"167,6","166,9","169,3",167,163,"169,1","167,15","2,28","0,7%","3,6%",1.396,"100,5", Verified ORF
1883,YFL007W,BLM10,"85,6","81,1","83,7","86,7","84,7","81,2","83,83","2,3","2,7%","1,5%",1.150,"30,5", Verified ORF
1884,YFL008W,SMC1,43,"44,7","42,6","42,8","38,8","44,9","42,8","2,2","2,6%","3,2%",954,"21,5", Verified ORF
1885,YFL009W,CDC4,"61,1","58,3","58,8",58,"59,4","59,9","59,25","1,14","2,5%","3,4%",851,24, Verified ORF
1886,YFL010C,WWM1,"118,9","121,2","119,8","112,5","118,1","114,5","117,5","3,33","1,0%","6,1%",977,, Verified ORF
1887,YFL010W-A,AUA1,"0,8","0,8","0,9",1,"0,9","0,6","0,83","0,14","6,9%","12,4%",1.540,, Verified ORF
1888,YFL011W,HXT10,"3,3",5,"3,8",3,"3,6","3,9","3,77","0,69","21,7%","20,7%",10,1, Verified ORF
1889,YFL012W,YFL012W,"4,9","5,4","5,7","6,4","7,2","6,2","5,97","0,81","7,6%","14,0%",50,"0,5", Uncharacterized ORF
1890,YFL012W-A,YFL012W-A,"24,8","22,2","22,9","20,2","23,8","21,5","22,57","1,64","5,8%","10,2%",,1, Dubious ORF
1891,YFL013C,IES1,"47,1",49,"51,2","50,1","51,1",53,"50,25","2,03","4,2%","4,5%",968,, Verified ORF
1892,YFL013W-A,YFL013W-A,"2,4","2,6","2,6","2,3","2,6",2,"2,42","0,24","4,6%","2,5%",,, Dubious ORF
1893,YFL014W,HSP12,"51,1","50,9","53,5","57,4","60,3","61,4","55,77","4,59","2,8%","10,1%",565,35, Verified ORF
1894,YFL015C,YFL015C,"0,2","0,1","0,2","0,3","0,2","0,1","0,18","0,08","34,6%","50,0%",,, Dubious ORF
1895,YFL015W-A,YFL015W-A,"0,3","0,2","0,2","0,2","0,1","0,3","0,22","0,08","24,7%","91,7%",,, Dubious ORF
1896,YFL016C,MDJ1,"73,5","69,6","73,7","71,6","68,8","71,8","71,5","1,99","3,2%","2,0%",962,81, Verified ORF
1897,YFL017C,GNA1,"88,1","86,3","83,7","89,3","82,6","83,4","85,57","2,75","2,6%","3,3%",375,, Verified ORF
1898,YFL017W-A,SMX2,141,"136,6","137,4","132,2","141,3","140,3","138,13","3,49","1,7%","6,0%",576,, Verified ORF
1899,YFL018C,LPD1,"357,1","363,8",365,"350,2","354,3","360,7","358,52","5,72","1,2%","2,2%",5.265,136, Verified ORF
1900,YFL019C,YFL019C,"1,6","1,2","0,9","1,7","1,7","1,5","1,43","0,32","28,5%","31,1%",,2, Dubious ORF
1901,YFL020C,PAU5,"2,2","1,9","3,2","2,9",2,"1,5","2,28","0,64","28,0%","16,1%",399,1, Verified ORF
1902,YFL021C-A,YFL021C-A,"2,6","2,5","1,6","2,6","2,5",2,"2,3","0,41","24,7%","14,4%",,1, Dubious ORF
1903,YFL021W,GAT1,"46,1","44,3","43,6","50,1","47,2",46,"46,22","2,31","2,9%","4,2%",615,15, Verified ORF
1904,YFL022C,FRS2,"267,2",264,"274,3","256,5","262,3","261,6","264,32","6,01","2,0%","2,1%",2.805,"140,5", Verified ORF
1905,YFL023W,BUD27,"41,1","38,4","37,6","35,3","36,6","39,7","38,12","2,1","4,7%","7,6%",706,"12,5", Verified ORF
1906,YFL024C,EPL1,47,"48,3","48,4","55,4","56,3","52,6","51,33","3,98","1,6%","19,3%",895,18, Verified ORF
1907,YFL025C,BST1,"36,4","38,1","36,4",39,"39,8","38,3",38,"1,38","2,7%","3,7%",649,10, Verified ORF
1908,YFL026W,STE2,"10,3","10,4","9,8",10,"9,6","10,3","10,07","0,32","3,2%","1,5%",124,"43,5", Verified ORF
1909,YFL027C,GYP8,"20,1","20,1",21,"21,9","20,8","20,3","20,7","0,7","2,5%","6,8%",360,"20,5", Verified ORF
1910,YFL028C,CAF16,"108,5","109,1","101,8",106,"108,5","108,4","107,05","2,79","3,8%","2,6%",772,"60,5", Verified ORF
1911,YFL029C,CAK1,"38,8","40,7","36,5","40,2","36,5","37,1","38,3","1,87","5,4%","2,9%",178,, Verified ORF
1912,YFL030W,AGX1,"16,7","17,2","17,9","18,3","18,7","15,4","17,37","1,21","3,5%","4,6%",226,, Verified ORF
1913,YFL031C-A,YFL031C-A,0,"0,2","0,2","0,1",0,0,"0,08","0,1","86,6%","173,2%",,, Dubious ORF
1914,YFL032W,YFL032W,"0,4","0,4",0,"0,2","0,2","0,9","0,35","0,31","86,6%","34,6%",,, Dubious ORF
1915,YFL033C,RIM15,"61,6","60,2","64,2","63,1","64,2","63,2","62,75","1,57","3,3%","5,3%",386,7, Verified ORF
1916,YFL034W,YFL034W,"43,3","38,7","42,9","41,1","42,1","43,9",42,"1,89","6,1%","7,0%",756,7, Uncharacterized ORF
1917,YFL036W,RPO41,"67,8",66,"72,4","75,6","73,7",74,"71,58","3,81","4,8%","5,4%",925,"10,5", Verified ORF
1918,YFL037W,TUB2,331,332,"326,5",335,"340,5","343,8","334,8","6,4","0,9%","0,9%",2.612,"200,5", Verified ORF
1919,YFL038C,YPT1,"356,9","358,9",361,"357,9","357,5","361,7","358,98","1,96","0,6%","1,6%",1.696,"96,5", Verified ORF
1920,YFL040W,YFL040W,"2,5","1,8","1,8","2,2","2,7","2,7","2,28","0,42","19,9%","6,5%",31,1, Uncharacterized ORF
1921,YFL041W,FET5,"56,3","55,9","58,5","57,2",61,"57,5","57,73","1,84","2,5%","8,1%",854,"24,5", Verified ORF
1922,YFL041W-A,YFL041W-A,5,"4,7","4,3","5,4","5,8","6,7","5,32","0,86","7,5%","10,1%",334,"6,5", Uncharacterized ORF
1923,YFL042C,YFL042C,"32,4",35,"31,8","34,8","29,3","30,9","32,37","2,22","5,1%","4,8%",845,27, Uncharacterized ORF
1924,YFL044C,OTU1,"20,8",22,"23,5","22,6","24,4","22,7","22,67","1,24","6,1%","4,2%",301,"20,5", Verified ORF
1925,YFL045C,SEC53,"532,6","533,5",532,"526,5","521,8","530,7","529,52","4,51","0,1%","6,3%",6.447,304, Verified ORF
1926,YFL046W,YFL046W,"54,2","52,9","53,9",56,"52,1","55,7","54,13","1,53","1,3%","1,7%",341,"72,5", Uncharacterized ORF
1927,YFL047W,RGD2,"63,9","64,1","64,6","62,6","62,3","61,8","63,22","1,13","0,6%","4,1%",772,5, Verified ORF
1928,YFL048C,EMP47,"83,2","81,6","82,1","87,8",85,"86,1","84,3","2,42","1,0%","3,5%",724,"77,5", Verified ORF
1929,YFL049W,SWP82,"36,4","34,2",34,"34,3","34,1",38,"35,17","1,66","3,8%","3,4%",494,"7,5", Verified ORF
1930,YFL050C,ALR2,"17,8","17,1","18,3","16,7","14,8","16,6","16,88","1,21","3,4%","7,2%",213,7, Verified ORF
1931,YFL051C,YFL051C,"1,1","0,8","1,5","1,4","0,9","0,8","1,08","0,31","31,0%","17,8%",58,1, Uncharacterized ORF
1932,YFL052W,YFL052W,"17,6","17,1","19,2","16,8","15,6","17,6","17,32","1,18","6,1%","7,4%",75,2, Uncharacterized ORF
1933,YFL053W,DAK2,"0,5","0,8","0,5","0,8","0,4","0,3","0,55","0,21","28,9%","28,9%",2,"3,5", Verified ORF
1934,YFL054C,YFL054C,"17,3","16,1","17,9","14,9","16,3","15,7","16,37","1,09","5,4%","9,5%",547,3, Uncharacterized ORF
1935,YFL055W,AGP3,"9,4","11,4","9,6","11,1","9,2",10,"10,12","0,92","10,9%","8,3%",84,2, Verified ORF
1936,YFL056C,AAD6,"9,5","9,2","7,4","8,5","7,4","7,1","8,18","1,03","13,1%","9,9%",79,, Verified ORF
1937,YFL057C,AAD16,"1,7","1,3","11,7","9,7","5,8","9,9","6,68","4,45","120,3%","65,0%",,, Verified ORF
1938,YFL058W,THI5,"4,6","5,6","8,9","11,3","7,7","6,3","7,4","2,44","35,3%","42,8%",,, Verified ORF
1939,YFL059W,SNZ3,"16,3","17,4","16,5","18,4","15,6","20,4","17,43","1,75","3,5%","10,1%",364,, Verified ORF
1940,YFL060C,SNO3,"10,9","13,3","10,6","13,4","12,5","12,2","12,15","1,18","12,8%","12,1%",238,, Verified ORF
1941,YFL061W,YFL061W,"0,9","0,9","0,5","0,4","1,3","0,6","0,77","0,33","30,1%","60,3%",28,, Uncharacterized ORF
1942,YFL062W,COS4,"0,2",0,"0,2","0,3","0,2",0,"0,15","0,12","86,6%","91,7%",4.806,, Verified ORF
1943,YFL063W,YFL063W,"0,8","0,3","0,3",0,"0,6","0,3","0,38","0,28","61,9%","89,2%",,, Dubious ORF
1944,YFL064C,YFL064C,0,0,0,0,0,0,0,0,N/A,N/A,24,, Uncharacterized ORF
1945,YFL065C,YFL065C,0,0,0,0,0,0,0,0,N/A,N/A,125,, Uncharacterized ORF
1946,YFL066C,YFL066C,"0,1","0,1","0,1",0,0,"0,2","0,08","0,08","0,0%","100,0%",,, Uncharacterized ORF
1947,YFL067W,YFL067W,0,0,"0,4",0,"0,3","0,4","0,18","0,2","173,2%","173,2%",31,, Uncharacterized ORF
1948,YFR001W,LOC1,"181,2","177,6","175,6",180,"173,8",184,"178,7","3,76","1,6%","10,4%",737,"36,5", Verified ORF
