#name: S.cerevisiae, GPM, Oct,2012
#score: 19.6
#weight: 10%
#description: abundance based on Spectral counting, from <a href="http://www.thegpm.org/" target="_blank">GPM, Oct,2012</a><br/><b>Interaction consistency score</b>: 19.6&nbsp<b>Coverage</b>: 89%
#organ: WHOLE_ORGANISM
#integrated: false
#
#internal_id	string_external_id	abundance_ppm	raw_spectral_count
#
214464	4932.YKL175W	70.69670166100101	9
211789	4932.YDR130C	24.97927618963489	2
212162	4932.YDR473C	178.07525466222003	29
211753	4932.YDR098C	180.66997647062797	16
213448	4932.YHR069C	70.3955212085307	14
211907	4932.YDR239C	21.610469713177363	8
212226	4932.YDR533C	364.0876957797542	41
214465	4932.YKL176C	4.362939920898431	1
215456	4932.YMR089C	115.54400670910832	33
212503	4932.YER139C	21.075566120182057	2
213741	4932.YIL101C	67.32666490287623	18
217013	4932.YPL240C	926.6102135477515	429
211449	4932.YDL060W	123.832778942487	35
213631	4932.YIL002W-A	72.08381396730522	2
213360	4932.YHL048C-A	35.81424711068601	1
213447	4932.YHR068W	423.9732795566723	81
211245	4932.YCL044C	56.47772053180733	12
211674	4932.YDR024W	96.23160769144992	8
216390	4932.YOR045W	581.3017534303847	10
214928	4932.YLR214W	34.80682818057882	12
212161	4932.YDR472W	53.037236771887855	7
210773	4932.YBL029W	87.54471656853646	7
214929	4932.YLR215C	27.931667412528558	5
211450	4932.YDL061C	1041.9939144659868	33
216391	4932.YOR046C	268.48721188623017	62
213868	4932.YIR040C	9.688363259943019	5
213128	4932.YGR134W	3.581540614415757	2
211752	4932.YDR097C	30.834193892445416	22
210690	4932.YAL060W	132.37211925791638	21
213294	4932.YGR289C	22.89094364111969	3
211790	4932.YDR131C	60.73876930701307	15
213219	4932.YGR216C	24.26456921448062	5
211601	4932.YDL203C	5.51542596774866	2
213065	4932.YGR075C	30.840434995425912	4
215113	4932.YLR382C	6.907570136920511	3
211676	4932.YDR026C	226.4765534780724	43
211751	4932.YDR096W	28.462863363937515	9
212225	4932.YDR532C	4.8712212936612405	1
211600	4932.YDL202W	80.02634106475871	8
215455	4932.YMR088C	6.133560420974268	2
211246	4932.YCL045C	109.78589872183423	30
212224	4932.YDR531W	70.22693225931424	12
210727	4932.YAR042W	60.29475873557241	30
213218	4932.YGR215W	141.22012127547444	5
211675	4932.YDR025W	623.9943517928056	64
216392	4932.YOR047C	78.50227212585263	7
215454	4932.YMR087W	19.344364324512163	2
216866	4932.YPL099C	53.21677284906739	4
214930	4932.YLR216C	709.2338520567388	75
213129	4932.YGR135W	389.5092423676545	43
213064	4932.YGR074W	257.5997731434269	11
214663	4932.YLL040C	66.8063225112327	94
213293	4932.YGR288W	0.727410378936745	1
214903	4932.YLR189C	10.310699136503509	5
216635	4932.YOR278W	86.59142280027405	10
214462	4932.YKL173W	72.42220212156273	32
213587	4932.YHR190W	266.2139036907789	42
212938	4932.YGL220W	71.04071722250698	2
211647	4932.YDL247W-A	203.66458208925724	2
213291	4932.YGR286C	63.25459218728338	7
214664	4932.YLL041C	294.8759016741814	29
214463	4932.YKL174C	31.9261518659581	4
216636	4932.YOR279C	18.03122525861758	3
213588	4932.YHR191C	29.502799103375885	2
211599	4932.YDL201W	97.40752941404216	11
215116	4932.YLR385C	13.132235935150824	1
212228	4932.YDR535C	34.85822263269833	4
212939	4932.YGL221C	152.40605096763335	23
216784	4932.YPL019C	212.89837975457203	75
213445	4932.YHR066W	73.1182662698638	17
214902	4932.YLR188W	51.80854539369737	12
216388	4932.YOR043W	38.01463280674294	12
213217	4932.YGR214W	635.7078944519149	122
215453	4932.YMR086W	84.70540776140837	30
214927	4932.YLR213C	5.165656461701062	1
214461	4932.YKL172W	237.00716159237834	33
211567	4932.YDL170W	61.48805947961015	12
214665	4932.YLL042C	25.98444462321227	5
213062	4932.YGR072W	34.07298236589363	5
213292	4932.YGR287C	13.922139038498019	6
211247	4932.YCL046W	8.624221384513655	1
211750	4932.YDR095C	132.38408778366983	8
215115	4932.YLR384C	118.31316472798432	70
212227	4932.YDR534C	15.91518277048421	2
214556	4932.YKR042W	324.18083820921123	15
211906	4932.YDR238C	194.19312639957246	86
212160	4932.YDR471W	1058.7621810664957	78
213063	4932.YGR073C	31.637675752918376	1
211324	4932.YCR045W-A	90.18995571803772	5
215451	4932.YMR085W	41.96685386694768	10
215114	4932.YLR383W	4.1939489865086825	2
211248	4932.YCL047C	4.8935554589650705	1
216389	4932.YOR044W	22.362282765832685	1
211673	4932.YDR023W	641.8238530642492	132
214901	4932.YLR187W	33.70954737493871	15
213446	4932.YHR067W	44.58790575793661	3
214557	4932.YKR043C	397.76853537495987	35
211905	4932.YDR237W	73.32587500563974	9
211568	4932.YDL171C	276.5772535587151	255
215038	4932.YLR312W-A	105.36452523563653	8
213127	4932.YGR133W	7.348535856514647	1
216863	4932.YPL096W	28.682213909909372	3
214933	4932.YLR219W	38.68893737341845	11
212496	4932.YER135C	43.404680663909694	2
211748	4932.YDR093W	26.02261920300996	18
213632	4932.YIL003W	21.797026926694635	4
212941	4932.YGL223C	19.612236210111785	3
213289	4932.YGR284C	50.20316070183171	9
215179	4932.YLR441C	1128.261636155653	173
215811	4932.YNL086W	239.64532535142274	5
213633	4932.YIL004C	77.03254553971655	5
217017	4932.YPL244C	6.367474438145204	1
211001	4932.YBR121C	569.4149660720185	154
214460	4932.YKL171W	315.3691133504854	101
215924	4932.YNL191W	158.48797964826582	21
215812	4932.YNL087W	105.20218271324268	51
214900	4932.YLR186W	127.35027150706358	17
211606	4932.YDL208W	1203.3374877096815	30
