"ORF"	"Gene"	"Expression"
"YBL107C"	"YBL107C"	"0.7"
"YBL113C"	"YBL113C"	"0.66"
"YBR001C"	"NTH2"	"1.53"
"YBR003W"	"COQ1"	"1.05"
"YBR004C"	"YBR004C"	"3.15"
"YBR006W"	"YBR006W"	"1.02"
"YBR007C"	"YBR007C"	"0.29"
"YBR008C"	"FLR1"	"1.73"
"YBR009C"	"HHF1"	"47.92"
"YBR010W"	"HHT1"	"37.81"
"YBR011C"	"IPP1"	"27.18"
"YBR017C"	"KAP104"	"1.66"
"YBR018C"	"GAL7"	"0.15"
"YBR019C"	"GAL10"	"0.42"
"YBR021W"	"FUR4"	"0.45"
"YBR022W"	"YBR022W"	"1.78"
"YBR023C"	"CHS3"	"1.83"
"YBR024W"	"SCO2"	"0.77"
"YBR025C"	"YBR025C"	"25.24"
"YBR026C"	"MRF1'"	"1.92"
"YBR027C"	"YBR027C"	"0.27"
"YBR028C"	"YBR028C"	"1.09"
"YBR029C"	"CDS1"	"1.6"
"YBR033W"	"YBR033W"	"0.46"
"YBR034C"	"HMT1"	"6.6"
"YBR035C"	"PDX3"	"2.77"
"YBR036C"	"CSG2"	"5.58"
"YBR037C"	"SCO1"	"0.89"
"YBR038W"	"CHS2"	"1.22"
"YBR039W"	"ATP3"	"8.22"
"YBR040W"	"FIG1"	"0.08"
"YBR041W"	"FAT1"	"2.82"
"YBR042C"	"YBR042C"	"2.59"
"YBR043C"	"YBR043C"	"0.86"
"YBR045C"	"GIP1"	"0.14"
"YBR046C"	"ZTA1"	"1.36"
"YBR047W"	"YBR047W"	"0.32"
"YBR048W"	"RPS11B"	"93.53"
"YBR049C"	"REB1"	"1.45"
"YBR050C"	"REG2"	"0.35"
"YBR055C"	"PRP6"	"0.37"
"YBR056W"	"YBR056W"	"1.68"
"YBR057C"	"MUM2"	"1.26"
"YBR058C"	"UBP14"	"2.33"
"YBR059C"	"YBR059C"	"2.51"
"YBR061C"	"YBR061C"	"1.65"
"YBR063C"	"YBR063C"	"0.59"
"YBR064W"	"YBR064W"	"0.58"
"YBR065C"	"ECM2"	"0.26"
"YBR068C"	"BAP2"	"16.29"
"YBR069C"	"VAP1"	"16.6"
"YBR070C"	"YBR070C"	"2.31"
"YBR073W"	"RDH54"	"0.39"
"YBR074W"	"YBR074W"	"0.49"
"YBR075W"	"YBR075W"	"1.83"
"YBR078W"	"ECM33"	"35.76"
"YBR079C"	"RPG1"	"5.09"
"YBR080C"	"SEC18"	3
"YBR081C"	"SPT7"	"0.23"
"YBR082C"	"UBC4"	"10.29"
"YBR083W"	"TEC1"	"1.12"
"YBR084W"	"MIS1"	"0.76"
"YBR085W"	"AAC3"	"0.76"
"YBR086C"	"YBR086C"	"1.82"
"YBR087W"	"RFC5"	"1.34"
"YBR088C"	"POL30"	"7.42"
"YBR089W"	"YBR089W"	"7.07"
"YBR091C"	"MRS5"	"5.61"
"YBR092C"	"PHO3"	"10.55"
"YBR093C"	"PHO5"	"7.24"
"YBR094W"	"YBR094W"	"0.81"
"YBR095C"	"YBR095C"	"0.57"
"YBR097W"	"VPS15"	"0.54"
"YBR098W"	"YBR098W"	"0.59"
"YBR100W"	"YBR100W"	"0.53"
"YBR101C"	"YBR101C"	"4.64"
"YBR102C"	"YBR102C"	"0.66"
"YBR103W"	"YBR103W"	"0.56"
