"ORF"	"Gene"	"Expression"
"YDL231C"	"YDL231C"	"0.42"
"YDL232W"	"OST4"	"9.74"
"YDL233W"	"YDL233W"	"1.38"
"YDL236W"	"PHO13"	"8.47"
"YDL237W"	"YDL237W"	"2.41"
"YDL238C"	"YDL238C"	"0.33"
"YDL239C"	"YDL239C"	"0.3"
"YDL240W"	"LRG1"	"0.45"
"YDL242W"	"YDL242W"	"0.27"
"YDL248W"	"COS7"	"0.6"
"YDR003W"	"YDR003W"	"2.11"
"YDR004W"	"RAD57"	"0.57"
"YDR008C"	"YDR008C"	"8.51"
"YDR009W"	"GAL3"	"0.27"
"YDR011W"	"SNQ2"	"5.23"
"YDR014W"	"YDR014W"	"1.26"
"YDR015C"	"YDR015C"	"0.2"
"YDR016C"	"YDR016C"	"3.4"
"YDR017C"	"KCS1"	"1.31"
"YDR018C"	"YDR018C"	"0.45"
"YDR019C"	"GCV1"	"4.44"
"YDR021W"	"FAL1"	"1.02"
"YDR022C"	"CIS1"	"0.4"
"YDR023W"	"SES1"	"15.09"
"YDR026C"	"YDR026C"	"1.22"
"YDR028C"	"REG1"	"1.71"
"YDR030C"	"RAD28"	"0.43"
"YDR032C"	"YDR032C"	"17.9"
"YDR033W"	"YDR033W"	"23.73"
"YDR034C"	"LYS14"	"0.68"
"YDR035W"	"ARO3"	"3.89"
"YDR036C"	"YDR036C"	"3.11"
"YDR037W"	"KRS1"	"38.27"
"YDR038C"	"ENA5"	"0.78"
"YDR040C"	"ENA1"	"0.46"
"YDR041W"	"YDR041W"	"1.92"
"YDR044W"	"HEM13"	"3.37"
"YDR046C"	"BAP3"	"3.39"
"YDR047W"	"HEM12"	"3.04"
"YDR048C"	"YDR048C"	"0.16"
"YDR049W"	"YDR049W"	"0.28"
"YDR050C"	"TPI1"	"183.33"
"YDR051C"	"YDR051C"	"1.37"
"YDR052C"	"DBF4"	"1.12"
"YDR053W"	"YDR053W"	"1.16"
"YDR054C"	"CDC34"	"2.01"
"YDR056C"	"YDR056C"	"9.93"
"YDR058C"	"TGL2"	"0.72"
"YDR059C"	"UBC5"	"1.64"
"YDR060W"	"YDR060W"	"4.69"
"YDR061W"	"YDR061W"	"0.46"
"YDR062W"	"LCB2"	"9.52"
"YDR064W"	"RPS13"	"160.19"
"YDR065W"	"YDR065W"	"1.62"
"YDR066C"	"YDR066C"	"0.53"
"YDR067C"	"YDR067C"	"0.89"
"YDR068W"	"DOS2"	"0.82"
"YDR069C"	"DOA4"	"0.38"
"YDR071C"	"YDR071C"	"7.04"
"YDR072C"	"IPT1"	"2.9"
"YDR073W"	"SNF11"	"2.74"
"YDR075W"	"PPH3"	"0.91"
"YDR076W"	"RAD55"	"0.5"
"YDR079W"	"PET100"	"1.88"
"YDR080W"	"VPS41"	"0.28"
"YDR081C"	"PDC2"	"0.77"
"YDR082W"	"STN1"	"0.41"
"YDR084C"	"YDR084C"	"3.91"
"YDR085C"	"AFR1"	"0.88"
"YDR087C"	"RRP1"	"4.28"
"YDR088C"	"SLU7"	"0.61"
"YDR090C"	"YDR090C"	"2.32"
"YDR091C"	"YDR091C"	"4.04"
"YDR092W"	"UBC13"	"4.59"
"YDR094W"	"YDR094W"	"5.19"
"YDR096W"	"GIS1"	"0.85"
"YDR097C"	"MSH6"	"0.29"
"YDR099W"	"BMH2"	"11.12"
"YDR101C"	"YDR101C"	"7.29"
"YDR102C"	"YDR102C"	"0.12"
"YDR103W"	"STE5"	"0.68"
"YDR104C"	"YDR104C"	"0.24"
"YDR105C"	"YDR105C"	"2.77"
"YDR107C"	"YDR107C"	"1.02"
"YDR108W"	"GSG1"	"0.75"
"YDR110W"	"FOB1"	"0.45"
"YDR111C"	"YDR111C"	"1.01"
"YDR113C"	"PDS1"	"1.13"
"YDR114C"	"YDR114C"	"0.05"
"YDR116C"	"YDR116C"	"2.66"
"YDR117C"	"YDR117C"	"2.95"
"YDR119W"	"YDR119W"	"1.56"
"YDR120C"	"TRM1"	"1.57"
"YDR122W"	"KIN1"	"2.37"
"YDR123C"	"INO2"	"0.28"
"YDR124W"	"YDR124W"	"0.28"
"YDR125C"	"ECM18"	"1.76"
"YDR126W"	"YDR126W"	"0.48"
"YDR127W"	"ARO1"	"2.65"
"YDR128W"	"YDR128W"	"0.9"
"YDR129C"	"SAC6"	"8.06"
"YDR131C"	"YDR131C"	"0.21"
"YDR132C"	"YDR132C"	"0.47"
"YDR135C"	"YCF1"	"8.93"
"YDR137W"	"RGP1"	"0.73"
"YDR138W"	"HPR1"	"0.92"
"YDR140W"	"YDR140W"	"1.42"
"YDR142C"	"PEX7"	"0.73"
"YDR143C"	"SAN1"	"2.91"
"YDR144C"	"MKC7"	"2.88"
"YDR145W"	"TAF61"	"1.74"
"YDR146C"	"SWI5"	"1.21"
"YDR147W"	"EKI1"	"0.71"
"YDR148C"	"KGD2"	"6.49"
"YDR151C"	"CTH1"	"1.08"
"YDR152W"	"YDR152W"	"4.25"
"YDR153C"	"YDR153C"	"4.04"
"YDR157W"	"YDR157W"	"0.29"
"YDR158W"	"HOM2"	"10.63"
"YDR159W"	"SAC3"	"0.28"
"YDR160W"	"SSY1"	"0.81"
"YDR161W"	"TCI1"	"1.69"
"YDR162C"	"NBP2"	"2.06"
"YDR163W"	"YDR163W"	"1.29"
"YDR164C"	"SEC1"	"0.71"
"YDR165W"	"YDR165W"	"4.23"
"YDR166C"	"SEC5"	"1.36"
"YDR167W"	"TAF25"	"3.08"
"YDR168W"	"CDC37"	"3.31"
"YDR169C"	"STB3"	"1.06"
"YDR170C"	"SEC7"	"0.77"
"YDR171W"	"HSP42"	"3.35"
"YDR172W"	"SUP35"	"22.34"
"YDR173C"	"ARG82"	"0.53"
"YDR175C"	"YDR175C"	"0.72"
"YDR176W"	"NGG1"	"0.43"
"YDR177W"	"UBC1"	"3.6"
"YDR178W"	"SDH4"	"11.03"
"YDR179C"	"YDR179C"	"1.73"
"YDR180W"	"SCC2"	"0.32"
"YDR182W"	"CDC1"	"0.99"
"YDR183W"	"YDR183W"	"1.21"
"YDR184C"	"ATC1"	"2.97"
"YDR185C"	"YDR185C"	"1.61"
"YDR186C"	"YDR186C"	"1.49"
"YDR187C"	"YDR187C"	"6.88"
"YDR190C"	"YDR190C"	"6.48"
"YDR191W"	"HST4"	"0.81"
"YDR192C"	"NUP42"	"1.14"
"YDR194C"	"MSS116"	"3.3"
"YDR195W"	"REF2"	"1.14"
"YDR196C"	"YDR196C"	"9.05"
"YDR198C"	"YDR198C"	"0.54"
"YDR200C"	"YDR200C"	"0.32"
"YDR203W"	"YDR203W"	"0.21"
"YDR204W"	"COQ4"	"1.5"
"YDR205W"	"YDR205W"	"1.16"
"YDR206W"	"EBS1"	"0.48"
"YDR208W"	"MSS4"	"0.59"
"YDR211W"	"GCD6"	"1.51"
"YDR212W"	"TCP1"	"4.93"
"YDR213W"	"YDR213W"	"1.08"
"YDR214W"	"YDR214W"	"3.81"
"YDR216W"	"ADR1"	"0.28"
"YDR217C"	"RAD9"	"1.55"
"YDR218C"	"SPR28"	"0.27"
"YDR219C"	"YDR219C"	"1.61"
"YDR221W"	"YDR221W"	"0.71"
"YDR222W"	"YDR222W"	"0.82"
"YDR223W"	"YDR223W"	"0.25"
"YDR224C"	"HTB1"	"73.98"
"YDR225W"	"HTA1"	"40.95"
"YDR226W"	"ADK1"	"28.03"
"YDR229W"	"YDR229W"	"1.02"
"YDR230W"	"YDR230W"	"3.39"
"YDR231C"	"YDR231C"	"3.41"
"YDR232W"	"HEM1"	"10.01"
"YDR233C"	"YDR233C"	"14.63"
"YDR234W"	"LYS4"	"7.43"
"YDR235W"	"PRP42"	"1.58"
"YDR237W"	"MRPL7"	2
"YDR238C"	"SEC26"	"2.66"
"YDR239C"	"YDR239C"	"0.4"
"YDR240C"	"SNU56"	"0.65"
"YDR241W"	"YDR241W"	"0.46"
"YDR242W"	"AMD2"	"0.6"
"YDR244W"	"PEX5"	"0.74"
"YDR245W"	"MNN10"	"5.52"
"YDR247W"	"YDR247W"	"15.49"
"YDR248C"	"YDR248C"	"1.62"
"YDR249C"	"YDR249C"	"0.61"
"YDR251W"	"PAM1"	"2.47"
"YDR253C"	"MET32"	"0.2"
"YDR254W"	"CHL4"	"0.39"
"YDR255C"	"YDR255C"	"0.63"
"YDR258C"	"HSP78"	"1.78"
"YDR259C"	"YAP6"	"0.95"
"YDR261C"	"EXG2"	"2.39"
"YDR262W"	"YDR262W"	"4.67"
"YDR263C"	"DIN7"	"0.31"
"YDR264C"	"AKR1"	"2.55"
"YDR265W"	"PEX10"	"0.99"
"YDR266C"	"YDR266C"	"1.3"
"YDR267C"	"YDR267C"	"2.06"
"YDR268W"	"MSW1"	"1.76"
"YDR272W"	"GLO2"	"2.6"
"YDR275W"	"YDR275W"	"0.68"
"YDR277C"	"MTH1"	"1.39"
"YDR279W"	"YDR279W"	"0.7"
"YDR282C"	"YDR282C"	"0.3"
"YDR283C"	"GCN2"	"0.4"
"YDR284C"	"DPP1"	"1.92"
"YDR285W"	"ZIP1"	"0.15"
"YDR287W"	"YDR287W"	"1.1"
"YDR288W"	"YDR288W"	"0.64"
"YDR291W"	"YDR291W"	"0.75"
"YDR292C"	"SRP101"	"0.84"
"YDR293C"	"SSD1"	"3.41"
"YDR294C"	"DPL1"	"2.61"
"YDR295C"	"YDR295C"	"0.37"
"YDR297W"	"SUR2"	"10.08"
"YDR298C"	"ATP5"	"20.21"
"YDR299W"	"BFR2"	"1.49"
"YDR300C"	"PRO1"	"2.26"
"YDR301W"	"CFT1"	"0.5"
"YDR302W"	"YDR302W"	"1.92"
"YDR304C"	"CYP5"	"5.06"
"YDR305C"	"HNT2"	"1.28"
"YDR306C"	"YDR306C"	"0.86"
"YDR307W"	"YDR307W"	"1.03"
"YDR310C"	"SUM1"	"0.36"
"YDR311W"	"TFB1"	"0.52"
"YDR312W"	"SSF2"	"0.52"
"YDR314C"	"YDR314C"	"0.21"
"YDR315C"	"YDR315C"	"0.78"
"YDR316W"	"YDR316W"	"0.46"
"YDR317W"	"YDR317W"	"0.16"
"YDR318W"	"MCM21"	"1.32"
"YDR320C"	"YDR320C"	"1.33"
"YDR321W"	"ASP1"	"22.62"
"YDR322W"	"MRPL35"	"1.26"
"YDR324C"	"YDR324C"	"0.87"
"YDR326C"	"YDR326C"	"0.6"
"YDR328C"	"SKP1"	"9.3"
"YDR329C"	"PEX3"	"0.94"
"YDR330W"	"YDR330W"	"1.06"
"YDR331W"	"GPI8"	"1.77"
"YDR332W"	"YDR332W"	"0.31"
"YDR333C"	"YDR333C"	"0.57"
"YDR335W"	"MSN5"	"0.42"
"YDR338C"	"YDR338C"	"0.48"
"YDR339C"	"YDR339C"	"6.37"
"YDR345C"	"HXT3"	"6.21"
"YDR346C"	"YDR346C"	"3.97"
"YDR347W"	"MRP1"	"8.18"
"YDR349C"	"YPS7"	"4.99"
"YDR350C"	"TCM10"	"1.02"
"YDR351W"	"SBE2"	"0.52"
"YDR352W"	"YDR352W"	"1.02"
"YDR353W"	"TRR1"	"21.86"
"YDR354W"	"TRP4"	"1.43"
"YDR356W"	"NUF1"	"0.37"
"YDR357C"	"YDR357C"	"8.43"
"YDR358W"	"YDR358W"	"0.49"
"YDR359C"	"YDR359C"	"0.71"
"YDR361C"	"YDR361C"	"6.26"
"YDR362C"	"TFC6"	"0.39"
"YDR363W"	"ESC2"	"1.13"
"YDR364C"	"CDC40"	"0.98"
"YDR365C"	"YDR365C"	"1.52"
"YDR366C"	"YDR366C"	"0.22"
"YDR368W"	"YPR1"	"7.59"
"YDR369C"	"XRS2"	"0.18"
"YDR370C"	"YDR370C"	1
"YDR371W"	"YDR371W"	"0.55"
"YDR372C"	"YDR372C"	"2.97"
"YDR375C"	"BCS1"	"0.78"
"YDR376W"	"ARH1"	"1.3"
"YDR379W"	"RGA2"	"0.34"
"YDR381W"	"YRA1"	"14.79"
"YDR383C"	"YDR383C"	"1.68"
"YDR384C"	"YDR384C"	"8.84"
"YDR387C"	"YDR387C"	"1.06"
"YDR388W"	"RVS167"	"3.79"
"YDR389W"	"SAC7"	"1.95"
"YDR390C"	"UBA2"	"1.79"
"YDR391C"	"YDR391C"	"1.79"
"YDR392W"	"SPT3"	"0.9"
"YDR393W"	"SHE9"	"1.35"
"YDR394W"	"RPT3"	"6.11"
"YDR396W"	"YDR396W"	"4.88"
"YDR397C"	"NCB2"	"5.05"
"YDR398W"	"YDR398W"	"2.53"
"YDR400W"	"YDR400W"	"3.09"
"YDR401W"	"YDR401W"	"0.16"
"YDR402C"	"DIT2"	"0.18"
"YDR403W"	"DIT1"	"0.31"
"YDR405W"	"MRP20"	"1.55"
"YDR406W"	"PDR15"	"2.34"
"YDR409W"	"YDR409W"	"0.43"
"YDR410C"	"STE14"	"2.8"
"YDR414C"	"ERD1"	"2.98"
"YDR415C"	"YDR415C"	"0.86"
"YDR417C"	"YDR417C"	"111.37"
"YDR419W"	"RAD30"	"0.62"
"YDR420W"	"HKR1"	"2.54"
"YDR421W"	"YDR421W"	"0.94"
"YDR422C"	"SIP1"	"2.81"
"YDR423C"	"CAD1"	"1.24"
"YDR425W"	"YDR425W"	"0.95"
"YDR427W"	"RPN9"	"10.43"
"YDR428C"	"YDR428C"	"1.08"
"YDR429C"	"TIF35"	"19.41"
"YDR430C"	"YDR430C"	"1.7"
"YDR432W"	"NPL3"	"13.66"
"YDR433W"	"YDR433W"	"65.14"
"YDR434W"	"YDR434W"	"2.86"
"YDR435C"	"YDR435C"	"3.49"
"YDR437W"	"YDR437W"	"0.64"
"YDR438W"	"YDR438W"	"0.72"
"YDR439W"	"LRS4"	"0.65"
"YDR441C"	"APT2"	"4.11"
"YDR442W"	"YDR442W"	"1.54"
"YDR443C"	"SSN2"	"0.49"
"YDR444W"	"YDR444W"	"0.54"
"YDR445C"	"YDR445C"	"0.18"
"YDR446W"	"ECM11"	"0.18"
"YDR447C"	"RPS17B"	"273.34"
"YDR449C"	"YDR449C"	"2.36"
"YDR450W"	"RPS18A"	"169.63"
"YDR451C"	"YDR451C"	"1.04"
"YDR452W"	"YDR452W"	"2.87"
"YDR453C"	"YDR453C"	"0.64"
"YDR455C"	"YDR455C"	"0.45"
"YDR456W"	"NHX1"	"4.58"
"YDR457W"	"TOM1"	"1.1"
"YDR459C"	"YDR459C"	"1.5"
"YDR460W"	"TFB3"	"1.15"
"YDR462W"	"MRPL28"	"4.54"
"YDR463W"	"STP1"	"0.8"
"YDR464W"	"SPP41"	"0.48"
"YDR466W"	"YDR466W"	"0.51"
"YDR467C"	"YDR467C"	"0.75"
"YDR468C"	"TLG1"	"2.18"
"YDR469W"	"YDR469W"	"7.55"
"YDR470C"	"YDR470C"	"1.09"
"YDR471W"	"RPL27B"	"56.9"
"YDR474C"	"YDR474C"	"0.76"
"YDR476C"	"YDR476C"	"5.04"
"YDR477W"	"SNF1"	"3.27"
"YDR479C"	"YDR479C"	"0.29"
"YDR480W"	"DIG2"	"0.41"
"YDR481C"	"PHO8"	"7.53"
"YDR482C"	"YDR482C"	"4.78"
"YDR483W"	"KRE2"	"15.42"
"YDR484W"	"SAC2"	"0.37"
"YDR485C"	"YDR485C"	"0.5"
"YDR486C"	"YDR486C"	"2.21"
"YDR487C"	"RIB3"	"19.93"
"YDR488C"	"PAC11"	"0.46"
"YDR489W"	"YDR489W"	"0.89"
"YDR490C"	"PKH1"	"0.12"
"YDR496C"	"YDR496C"	"2.56"
"YDR497C"	"ITR1"	"11.08"
"YDR498C"	"SEC20"	"0.97"
"YDR499W"	"YDR499W"	"1.7"
"YDR500C"	"RPL37B"	"137.97"
"YDR502C"	"SAM2"	"6.34"
"YDR503C"	"LPP1"	"1.37"
"YDR504C"	"YDR504C"	"4.37"
"YDR505C"	"PSP1"	"1.27"
"YDR506C"	"YDR506C"	"0.16"
"YDR507C"	"GIN4"	"0.84"
"YDR510W"	"SMT3"	"13.44"
"YDR512C"	"YDR512C"	"0.29"
"YDR514C"	"YDR514C"	"0.66"
"YDR515W"	"SLF1"	"1.41"
"YDR516C"	"YDR516C"	"2.35"
"YDR517W"	"YDR517W"	"2.86"
"YDR519W"	"FKB2"	"6.39"
"YDR520C"	"YDR520C"	"0.26"
"YDR522C"	"SPS2"	"0.26"
"YDR523C"	"SPS1"	"0.17"
"YDR524C"	"YDR524C"	"2.11"
"YDR527W"	"YDR527W"	"1.38"
"YDR528W"	"YDR528W"	"0.82"
"YDR529C"	"QCR7"	"14.51"
"YDR530C"	"APA2"	"0.88"
"YDR531W"	"YDR531W"	"2.81"
"YDR534C"	"YDR534C"	"3.72"
"YDR535C"	"YDR535C"	"0.35"
"YDR536W"	"STL1"	"0.27"
"YDR537C"	"YDR537C"	"1.5"
"YDR538W"	"PAD1"	"1.46"
"YDR539W"	"YDR539W"	"0.92"
"YDR540C"	"YDR540C"	"1.27"
"YDR541C"	"YDR541C"	"0.78"
"YEL004W"	"YEA4"	"1.14"
"YEL006W"	"YEL006W"	"2.12"
"YEL007W"	"YEL007W"	"2.64"
"YEL008W"	"YEL008W"	"0.29"
"YEL009C"	"GCN4"	"41.44"
"YEL010W"	"YEL010W"	"0.44"
"YEL011W"	"GLC3"	"0.97"
"YEL012W"	"UBC8"	"0.79"
"YEL013W"	"VAC8"	"3.73"
"YEL014C"	"YEL014C"	"0.2"
"YEL015W"	"YEL015W"	"0.89"
"YEL016C"	"YEL016C"	"1.02"
"YEL017W"	"YEL017W"	"1.47"
"YEL018W"	"YEL018W"	"1.29"
"YEL019C"	"MMS21"	"0.32"
"YEL020C"	"YEL020C"	"0.57"
"YEL021W"	"URA3"	"7.6"
"YEL023C"	"YEL023C"	"0.23"
"YEL025C"	"YEL025C"	"0.42"
"YEL028W"	"YEL028W"	"0.47"
"YEL029C"	"YEL029C"	"1.15"
"YEL030W"	"ECM10"	"0.78"
"YEL031W"	"SPF1"	"5.23"
"YEL032W"	"MCM3"	"1.15"
"YEL037C"	"RAD23"	"13.97"
"YEL038W"	"UTR4"	"5.52"
"YEL040W"	"UTR2"	"8.94"
"YEL041W"	"YEL041W"	"0.09"
"YEL042W"	"GDA1"	"3.41"
"YEL043W"	"YEL043W"	"2.53"
"YEL044W"	"YEL044W"	"1.97"
"YEL047C"	"YEL047C"	"2.46"
"YEL049W"	"PAU2"	"0.23"
"YEL050C"	"RML2"	"2.32"
"YEL051W"	"VMA8"	"10.27"
"YEL052W"	"AFG1"	"2.7"
"YEL053C"	"MAK10"	"0.54"
"YEL056W"	"HAT2"	"1.43"
"YEL057C"	"YEL057C"	"0.48"
"YEL058W"	"PCM1"	"3.72"
"YEL060C"	"PRB1"	"9.71"
"YEL061C"	"CIN8"	"0.35"
"YEL062W"	"NPR2"	"0.22"
"YEL063C"	"CAN1"	"3.33"
"YEL064C"	"YEL064C"	"0.5"
"YEL067C"	"YEL067C"	"0.25"
"YEL068C"	"YEL068C"	"4.04"
"YEL069C"	"HXT13"	"0.29"
"YEL071W"	"YEL071W"	"5.04"
"YEL072W"	"YEL072W"	"0.39"
"YEL073C"	"YEL073C"	"0.27"
"YEL077C"	"YEL077C"	"0.46"
"YER001W"	"MNN1"	"1.35"
"YER002W"	"YER002W"	"4.09"
"YER003C"	"PMI40"	6
"YER004W"	"YER004W"	"8.65"
"YER006W"	"YER006W"	"7.33"
"YER007W"	"PAC2"	"0.55"
"YER009W"	"NTF2"	"22.73"
"YER010C"	"YER010C"	"1.66"
"YER012W"	"PRE1"	"9.77"
"YER013W"	"PRP22"	"1.2"
"YER014W"	"HEM14"	"0.47"
"YER015W"	"FAA2"	"0.26"
"YER016W"	"BIM1"	"1.65"
"YER017C"	"AFG3"	"2.6"
"YER020W"	"GPA2"	"4.22"
"YER021W"	"RPN3"	"4.45"
"YER022W"	"SRB4"	"0.78"
"YER024W"	"YER024W"	"0.34"
"YER025W"	"GCD11"	"22.04"
"YER027C"	"GAL83"	"2.86"
"YER028C"	"YER028C"	"1.99"
"YER029C"	"SMB1"	"2.47"
"YER031C"	"YPT31"	"4.71"
"YER032W"	"FIR1"	"1.11"
"YER033C"	"YER033C"	"0.5"
"YER034W"	"YER034W"	"1.12"
"YER036C"	"YER036C"	"19.86"
"YER037W"	"YER037W"	"0.95"
"YER038C"	"YER038C"	"0.63"
"YER039C"	"HVG1"	"0.39"
"YER040W"	"GLN3"	1
"YER041W"	"YER041W"	"0.21"
"YER043C"	"SAH1"	"34.57"
"YER044C"	"YER044C"	"7.39"
"YER045C"	"YER045C"	"0.79"
"YER047C"	"SAP1"	"0.44"
"YER048C"	"CAJ1"	"3.05"
"YER049W"	"YER049W"	"2.09"
"YER050C"	"YER050C"	"9.11"
"YER051W"	"YER051W"	"0.38"
"YER052C"	"HOM3"	"5.52"
"YER053C"	"YER053C"	"1.04"
"YER054C"	"GIP2"	"0.41"
"YER055C"	"HIS1"	"25.14"
"YER056C"	"FCY2"	"13.35"
"YER057C"	"HIG1"	"18.31"
"YER058W"	"PET117"	"2.2"
"YER059W"	"PCL6"	1
"YER060W"	"FCY21"	"1.91"
"YER061C"	"CEM1"	"1.37"
"YER062C"	"HOR2"	"16.57"
"YER064C"	"YER064C"	"2.62"
"YER065C"	"ICL1"	"0.44"
"YER066W"	"YER066W"	"0.42"
"YER067W"	"YER067W"	"3.78"
"YER068W"	"MOT2"	"2.15"
"YER070W"	"RNR1"	"3.34"
"YER075C"	"PTP3"	"4.25"
"YER076C"	"YER076C"	"2.03"
"YER077C"	"YER077C"	"0.48"
"YER078C"	"YER078C"	"1.2"
"YER079W"	"YER079W"	"0.54"
"YER080W"	"YER080W"	"1.49"
"YER081W"	"YER081W"	"1.01"
"YER082C"	"YER082C"	"3.4"
"YER084W"	"YER084W"	"0.12"
"YER085C"	"YER085C"	"0.08"
"YER086W"	"ILV1"	"14.45"
"YER087W"	"YER087W"	"0.31"
"YER088C"	"DOT6"	"3.83"
"YER089C"	"PTC2"	"6.3"
"YER090W"	"TRP2"	"6.05"
"YER091C"	"MET6"	"3.62"
"YER092W"	"YER092W"	"2.74"
"YER093C"	"YER093C"	"1.55"
"YER094C"	"PUP3"	"18.73"
"YER095W"	"RAD51"	"2.94"
"YER098W"	"UBP9"	"0.35"
"YER100W"	"UBC6"	"3.74"
"YER101C"	"AST2"	"0.72"
"YER102W"	"RPS8B"	"64.86"
"YER103W"	"SSA4"	"0.52"
"YER104W"	"YER104W"	"0.7"
"YER105C"	"NUP157"	"2.25"
"YER106W"	"YER106W"	"0.09"
"YER107C"	"GLE2"	"1.18"
"YER110C"	"KAP123"	"4.26"
"YER113C"	"YER113C"	"1.12"
"YER116C"	"YER116C"	"1.85"
"YER118C"	"SSU81"	"1.82"
"YER122C"	"GLO3"	"3.59"
"YER123W"	"YCK3"	"0.5"
"YER124C"	"YER124C"	"2.05"
"YER125W"	"RSP5"	"1.7"
"YER126C"	"YER126C"	"6.23"
"YER128W"	"YER128W"	"0.45"
"YER129W"	"PAK1"	"0.61"
"YER130C"	"YER130C"	"4.07"
"YER131W"	"RPS26B"	"152.05"
"YER134C"	"YER134C"	"2.36"
"YER135C"	"YER135C"	"0.13"
"YER136W"	"GDI1"	"3.73"
"YER137C"	"YER137C"	"0.75"
"YER139C"	"YER139C"	"0.56"
"YER140W"	"YER140W"	"0.57"
"YER141W"	"COX15"	"4.48"
"YER142C"	"MAG1"	"0.53"
"YER143W"	"DDI1"	"1.46"
"YER144C"	"UBP5"	"1.96"
"YER145C"	"FTR1"	"8.92"
"YER147C"	"YER147C"	"0.62"
"YER148W"	"SPT15"	"13.07"
"YER149C"	"PEA2"	"0.58"
"YER152C"	"YER152C"	"2.67"
"YER153C"	"PET122"	"0.84"
"YER154W"	"OXA1"	3
"YER155C"	"BEM2"	"0.65"
"YER156C"	"YER156C"	"7.69"
"YER158C"	"YER158C"	"1.05"
"YER159C"	"BUR6"	"4.03"
"YER161C"	"SPT2"	"1.74"
"YER163C"	"YER163C"	"2.2"
"YER164W"	"CHD1"	"0.61"
"YER166W"	"YER166W"	"0.54"
"YER167W"	"BCK2"	"1.43"
"YER168C"	"CCA1"	"1.63"
"YER169W"	"RPH1"	"0.62"
"YER170W"	"ADK2"	"1.39"
"YER172C"	"BRR2"	"2.62"
"YER175C"	"YER175C"	"0.58"
"YER176W"	"ECM32"	"1.75"
"YER178W"	"PDA1"	"18.3"
"YER179W"	"DMC1"	"0.71"
"YER180C"	"ISC10"	"3.99"
"YER181C"	"YER181C"	"0.08"
"YER182W"	"YER182W"	"1.37"
"YER183C"	"YER183C"	"2.24"
"YER184C"	"YER184C"	"0.72"
"YER185W"	"YER185W"	"0.53"
"YER186C"	"YER186C"	"1.35"
"YFL002C"	"SPB4"	"2.53"
"YFL005W"	"SEC4"	"11.34"
"YFL008W"	"SMC1"	"0.41"
"YFL009W"	"CDC4"	"0.78"
"YFL013C"	"YFL013C"	"0.64"
"YFL018C"	"LPD1"	"10.18"
"YFL021W"	"GAT1"	"1.16"
"YFL022C"	"FRS2"	"24.79"
"YFL023W"	"YFL023W"	"0.56"
"YFL024C"	"EPL1"	"0.54"
"YFL026W"	"STE2"	"0.13"
"YFL027C"	"YFL027C"	"0.61"
"YFL028C"	"CAF16"	"1.78"
"YFL029C"	"CAK1"	"0.9"
"YFL030W"	"YFL030W"	"0.49"
"YFL031W"	"HAC1"	"47.99"
"YFL033C"	"RIM15"	"1.32"
"YFL034W"	"YFL034W"	"0.53"
"YFL037W"	"TUB2"	"10.19"
"YFL038C"	"YPT1"	"9.98"
"YFL039C"	"ACT1"	"139.59"
"YFL040W"	"YFL040W"	"0.1"
"YFL042C"	"YFL042C"	"0.85"
"YFL043C"	"YFL043C"	"1.22"
"YFL044C"	"YFL044C"	"1.65"
"YFL045C"	"SEC53"	"32.23"
"YFL046W"	"YFL046W"	"1.27"
"YFL047W"	"YFL047W"	"0.84"
"YFL048C"	"EMP47"	"3.13"
"YFL049W"	"YFL049W"	"0.69"
"YFL050C"	"ALR2"	"0.38"
"YFL051C"	"YFL051C"	"0.11"
"YFL052W"	"YFL052W"	"0.12"
"YFL053W"	"DAK2"	"0.12"
"YFL054C"	"YFL054C"	"0.6"
"YFL055W"	"AGP3"	"0.39"
"YFL057C"	"YFL057C"	"1.87"
"YFL059W"	"SNZ3"	"0.34"
"YFL060C"	"SNO3"	"0.51"
"YFL063W"	"YFL063W"	"0.88"
"YFR002W"	"NIC96"	"1.12"
"YFR003C"	"YFR003C"	7
"YFR004W"	"RPN11"	"15.13"
"YFR006W"	"YFR006W"	"4.27"
"YFR007W"	"YFR007W"	"0.53"
"YFR009W"	"GCN20"	3
"YFR010W"	"UBP6"	"2.26"
"YFR011C"	"YFR011C"	"3.2"
"YFR012W"	"YFR012W"	"0.35"
"YFR015C"	"GSY1"	"0.53"
"YFR016C"	"YFR016C"	"1.06"
"YFR017C"	"YFR017C"	"1.32"
"YFR018C"	"YFR018C"	"2.9"
"YFR019W"	"FAB1"	"0.31"
"YFR020W"	"YFR020W"	"1.48"
"YFR021W"	"YFR021W"	"1.14"
"YFR023W"	"PES4"	"0.16"
"YFR024C"	"YFR024C"	"8.12"
"YFR025C"	"HIS2"	"1.4"
"YFR026C"	"YFR026C"	"0.37"
"YFR028C"	"CDC14"	"1.8"
"YFR029W"	"PTR3"	"1.44"
"YFR030W"	"MET10"	"1.66"
"YFR031C"	"SMC2"	"0.38"
"YFR034C"	"PHO4"	"2.93"
"YFR036W"	"CDC26"	"2.62"
"YFR037C"	"RSC8"	"4.73"
"YFR038W"	"YFR038W"	"0.32"
"YFR039C"	"YFR039C"	"1.39"
"YFR040W"	"SAP155"	"1.09"
"YFR041C"	"YFR041C"	"1.1"
"YFR042W"	"YFR042W"	"2.96"
"YFR043C"	"YFR043C"	"1.1"
"YFR046C"	"YFR046C"	"0.54"
