ORF;Gene Name;Raw Half life;Corrected Half Life
YBR164C;ARL1;-120;300
YBR166C;TYR1;79;79
YBR167C;POP7;66;66
YBR168W;PEX32;49;49
YBR169C;SSE2;5252;5252
YBR170C;NPL4;29;29
YBR171W;SEC66;-3619;300
YBR172C;SMY2;19;19
YBR173C;UMP1;17;17
YBR175W;SWD3;1181;1181
YBR176W;ECM31;118;118
YBR177C;EHT1;-779;300
YBR179C;FZO1;24;24
YBR185C;MBA1;187;187
YBR188C;NTC20;-268;300
YBR189W;RPS9B;29;29
YBR193C;MED8;-1925;300
YBR194W;SOY1;152;152
YBR195C;MSI1;31;31
YBR196C;PGI1;540;540
YBR197C;;93;93
YBR198C;TAF5;21;21
YBR199W;KTR4;12;12
YBR200W;BEM1;19;19
YBR201W;DER1;3;3
YBR205W;KTR3;17;17
YBR207W;FTH1;60;60
YBR208C;DUR1,2;45;45
YBR211C;AME1;68;68
YBR212W;NGR1;28;28
YBR214W;SDS24;54;54
YBR215W;HPC2;16;16
YBR216C;YBP1;23;23
YBR218C;PYC2;40;40
YBR221C;PDB1;72;72
YBR222C;PCS60;27;27
YBR225W;;9;9
YBR227C;MCX1;83;83
YBR229C;ROT2;27;27
YBR230C;;-184;300
YBR231C;SWC5;22;22
YBR233W;PBP2;36;36
YBR233W-A;DAD3;228;228
YBR234C;ARC40;66;66
YBR235W;;31;31
YBR238C;;19;19
YBR239C;;16;16
YBR241C;;86;86
YBR242W;;33;33
YBR244W;GPX2;168;168
YBR245C;ISW1;37;37
YBR246W;;83;83
YBR247C;ENP1;35;35
YBR248C;HIS7;56;56
YBR249C;ARO4;71;71
YBR251W;MRPS5;201;201
YBR252W;DUT1;-84;300
YBR253W;SRB6;176;176
YBR255W;;3;3
YBR256C;RIB5;280;280
YBR258C;SHG1;45;45
YBR259W;;15;15
YBR260C;RGD1;45;45
YBR261C;;-240;300
YBR262C;FMP51;-127;300
YBR263W;SHM1;43;43
YBR264C;YPT10;57;57
YBR265W;TSC10;206;206
YBR266C;;11;11
YBR267W;REI1;116;116
YBR268W;MRPL37;-477;300
YBR271W;;80;80
YBR272C;HSM3;15;15
YBR273C;UBX7;47;47
YBR274W;CHK1;30;30
YBR278W;DPB3;1162;1162
YBR279W;PAF1;117;117
YBR281C;;56;56
YBR282W;MRPL27;132;132
YBR286W;APE3;9;9
YBR287W;ZSP1;29;29
YBR288C;APM3;79;79
YBR289W;SNF5;3;3
YBR290W;BSD2;48;48
YBR299W;MAL32;42;42
YBR302C;COS2;8;8
YCL005W;;42;42
YCL008C;STP22;46;46
YCL009C;ILV6;105;105
YCL010C;SGF29;42;42
YCL011C;GBP2;61;61
YCL014W;BUD3;8;8
YCL016C;DCC1;63;63
YCL024W;KCC4;22;22
YCL025C;AGP1;19;19
YCL028W;RNQ1;51;51
YCL029C;BIK1;77;77
YCL031C;RRP7;101;101
YCL032W;STE50;39;39
YCL033C;;-97;300
YCL035C;GRX1;-296;300
YCL039W;GID7;23;23
YCL040W;GLK1;142;142
YCL043C;PDI1;8;8
YCL044C;;99;99
YCL045C;;48;48
YCL047C;;210;210
YCL049C;;19;19
YCL050C;APA1;122;122
YCL052C;PBN1;-225;300
YCL055W;KAR4;17;17
YCL056C;;37;37
YCL057W;PRD1;63;63
YCL059C;KRR1;191;191
YCL061C;MRC1;98;98
YCL063W;VAC17;31;31
YCL064C;CHA1;70;70
YCR003W;MRPL32;225;225
YCR005C;CIT2;30;30
YCR008W;SAT4;12;12
YCR009C;RVS161;50;50
YCR011C;ADP1;-482;300
YCR012W;PGK1;199;199
YCR016W;;68;68
YCR017C;CWH43;689;689
YCR018C;SRD1;2;2
YCR020C;PET18;65;65
YCR020W-B;HTL1;30;30
YCR023C;;48;48
YCR024C;;27;27
YCR026C;;11;11
YCR027C;RHB1;34;34
YCR030C;SYP1;-2326;300
YCR031C;RPS14A;40;40
YCR034W;FEN1;-73;300
YCR035C;RRP43;98;98
