MAK16,55.000000,31.000000,14.000000,31.000000,33.000000,23.000000,34.000000,38.000000,24.000000,22.000000,35.000000,30.000000,34.000000,24.000000,34.000000,27.000000,28.000000,28.000000,21.000000,29.000000,26.000000,23.000000
DRS2,22.000000,11.000000,10.000000,12.000000,15.000000,10.000000,11.000000,13.000000,7.000000,8.000000,17.000000,13.000000,9.000000,5.000000,28.000000,13.000000,10.000000,13.000000,14.000000,14.000000,15.000000,14.000000
SAW1,5.000000,5.000000,5.000000,6.000000,7.000000,10.000000,5.000000,5.000000,1.000000,1.000000,5.000000,2.000000,5.000000,2.000000,9.000000,4.000000,5.000000,6.000000,7.000000,8.000000,3.000000,3.000000
FRT2,1.000000,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,2.000000,3.000000,1.000000,0.000000,2.000000,2.000000,2.000000,2.000000,2.000000,0.000000,2.000000,0.000000,3.000000,0.000000,2.000000
MYO4,20.000000,22.000000,15.000000,10.000000,12.000000,8.000000,25.000000,27.000000,12.000000,9.000000,20.000000,15.000000,23.000000,21.000000,29.000000,16.000000,15.000000,11.000000,28.000000,20.000000,13.000000,22.000000
SNC1,24.000000,22.000000,14.000000,20.000000,20.000000,23.000000,25.000000,28.000000,13.000000,14.000000,29.000000,22.000000,20.000000,15.000000,24.000000,23.000000,29.000000,22.000000,28.000000,25.000000,19.000000,27.000000
GIP4,11.000000,1.000000,1.000000,2.000000,6.000000,1.000000,3.000000,5.000000,2.000000,2.000000,8.000000,3.000000,4.000000,8.000000,1.000000,4.000000,4.000000,6.000000,6.000000,3.000000,6.000000,3.000000
PRP45,11.000000,3.000000,4.000000,5.000000,13.000000,7.000000,6.000000,12.000000,2.000000,3.000000,4.000000,5.000000,7.000000,1.000000,6.000000,6.000000,2.000000,10.000000,10.000000,3.000000,11.000000,9.000000
POP5,9.000000,13.000000,4.000000,13.000000,13.000000,7.000000,13.000000,13.000000,6.000000,7.000000,9.000000,7.000000,8.000000,5.000000,6.000000,13.000000,17.000000,16.000000,17.000000,15.000000,5.000000,14.000000
FUN19,7.000000,6.000000,7.000000,9.000000,9.000000,6.000000,13.000000,15.000000,5.000000,5.000000,12.000000,10.000000,3.000000,12.000000,10.000000,15.000000,17.000000,9.000000,4.000000,7.000000,2.000000,13.000000
FUN12,137.000000,73.000000,71.000000,95.000000,89.000000,62.000000,125.000000,128.000000,65.000000,73.000000,121.000000,110.000000,96.000000,64.000000,122.000000,95.000000,102.000000,83.000000,118.000000,105.000000,92.000000,107.000000
RBG1,61.000000,38.000000,26.000000,41.000000,48.000000,29.000000,46.000000,52.000000,28.000000,40.000000,58.000000,42.000000,41.000000,29.000000,38.000000,61.000000,46.000000,38.000000,44.000000,47.000000,43.000000,38.000000
YAL037W,1.000000,3.000000,3.000000,1.000000,0.000000,2.000000,1.000000,1.000000,2.000000,1.000000,5.000000,9.000000,3.000000,4.000000,3.000000,6.000000,4.000000,2.000000,1.000000,3.000000,3.000000,2.000000
CDC19,1592.000000,714.000000,672.000000,837.000000,1090.000000,680.000000,1012.000000,1035.000000,484.000000,821.000000,963.000000,847.000000,901.000000,621.000000,957.000000,1028.000000,1031.000000,998.000000,1044.000000,881.000000,804.000000,1111.000000
CYC3,22.000000,48.000000,12.000000,13.000000,23.000000,18.000000,28.000000,29.000000,19.000000,15.000000,27.000000,18.000000,35.000000,19.000000,16.000000,21.000000,22.000000,26.000000,30.000000,20.000000,18.000000,25.000000
