ORF	rpf	mRNA	reliable
YBR014C	80.2585	188.5306	1
YBR015C	58.435	37.4676	1
YBR016W	131.4508	66.9293	1
YBR017C	49.174	70.7743	1
YBR018C	0	10.3496	0
YBR019C	0.3924	1.3339	0
YBR020W	0	2.7728	0
YBR021W	3.4653	11.2548	1
YBR022W	35.775	124.0497	1
YBR023C	23.2697	67.5778	1
YBR024W	18.6204	35.7315	1
YBR025C	935.0503	596.2635	1
YBR026C	58.5247	62.2683	1
YBR028C	16.0513	49.3077	1
YBR029C	49.7486	40.6077	1
YBR030W	10.7997	61.6132	1
YBR033W	0.2986	1.5952	0
YBR034C	114.3955	340.025	1
YBR035C	173.8674	179.3446	1
YBR036C	81.64	134.1099	1
YBR037C	20.8504	42.3049	1
YBR038W	32.4171	14.1866	1
YBR039W	214.1004	124.4767	1
YBR040W	0.4587	6.906	0
YBR041W	27.0544	57.2351	1
YBR042C	30.1695	149.7024	1
YBR043C	2.1892	70.1729	1
YBR044C	8.8503	63.1952	1
YBR045C	1.196	9.9904	0
YBR046C	52.417	41.1683	1
YBR047W	8.1697	57.8147	1
YBR049C	64.6928	35.6132	1
YBR050C	2.2258	6.0927	0
YBR052C	104.5547	169.0493	1
YBR053C	42.04	79.8122	1
YBR054W	34.7953	27.0378	1
YBR055C	10.607	38.2461	1
YBR056W	25.705	66.1379	1
YBR057C	40.1906	58.1028	1
YBR058C	31.613	57.4889	1
YBR058CA	300.4439	616.3504	1
YBR059C	23.6598	16.6042	1
YBR060C	18.4629	29.1013	1
YBR061C	55.5713	97.2449	1
YBR062C	50.1748	149.6336	1
YBR063C	0.1694	38.8368	1
YBR065C	15.7882	40.5293	1
YBR066C	56.4301	138.5347	1
YBR067C	462.0537	359.5453	1
YBR068C	116.0365	388.4116	1
YBR069C	88.2551	242.1131	1
YBR070C	19.582	69.9277	1
YBR071W	66.5745	62.7815	1
YBR072CA	1.2572	8.5482	0
YBR072W	24.2198	30.6446	1
YBR073W	28.5113	44.7135	1
YBR074W	21.6521	53.0556	1
YBR076W	0.2017	4.5071	0
YBR077C	94.065	162.3394	1
YBR078W	1475.7947	398.673	1
YBR079C	214.8701	108.6742	1
YBR080C	86.9442	46.0479	1
YBR081C	11.7497	23.9266	1
YBR082C	610.889	353.5052	1
YBR083W	31.1465	16.1533	1
YBR084W	105.6269	132.2622	1
YBR085CA	163.3636	472.9524	1
YBR085W	18.9265	78.2925	1
YBR086C	57.2943	46.0001	1
YBR087W	36.7156	223.1721	1
YBR088C	187.924	167.1084	1
YBR091C	70.7992	134.5207	1
YBR094W	18.943	48.476	1
YBR095C	24.5195	55.6744	1
YBR096W	81.5848	230.8182	1
YBR097W	3.7772	11.0065	1
YBR098W	4.4651	18.119	1
YBR101C	147.5121	294.8019	1
YBR102C	21.4019	15.6574	1
YBR103W	13.1908	95.9071	1
YBR104W	32.4246	246.9092	1
YBR105C	8.5045	17.2554	1
YBR106W	933.0959	1555.7236	1
YBR107C	3.3436	24.0869	0
YBR108W	11.9539	5.7703	1
YBR109C	681.8965	338.1291	1
YBR110W	26.9934	116.2828	1
YBR111C	192.5988	253.354	1
YBR111WA	118.8607	188.4922	1
YBR114W	5.7298	11.4683	1
YBR115C	73.1345	27.016	1
YBR117C	0.302	2.6403	0
YBR119W	17.5728	40.2822	1
YBR120C	49.972	79.1303	1
YBR121C	320.7925	429.1992	1
YBR122C	66.9338	276.1227	1
YBR123C	20.3863	34.6784	1
YBR125C	17.4144	67.9981	1
YBR126C	127.1717	108.0668	1
YBR127C	613.1281	362.5765	1
YBR128C	1.5906	19.3127	0
YBR129C	25.8516	161.1904	1
YBR130C	61.5339	42.558	1
YBR131W	3.6036	21.6639	1
YBR132C	13.7995	7.372	1
YBR133C	9.1233	27.4711	1
YBR135W	68.8801	77.0281	1
YBR136W	2.6393	5.1273	1
YBR137W	78.7467	147.0639	1
YBR138C	12.2902	33.654	1
YBR139W	33.8476	28.6853	1
YBR140C	4.0878	7.8331	1
YBR141C	13.7999	33.9045	1
YBR142W	50.3047	77.386	1
YBR143C	379.4718	617.1026	1
YBR145W	13.0572	45.4306	1
YBR146W	59.7181	100.4946	1
YBR147W	0.4618	10.3164	0
YBR148W	7.7658	6.0126	0
YBR149W	106.7719	72.4227	1
YBR151W	44.5693	188.9249	1
YBR152W	14.7947	24.6349	1
YBR153W	12.5894	109.7833	1
YBR154C	314.3559	656.8955	1
YBR155W	76.9646	41.4358	1
YBR156C	9.7249	8.4918	1
YBR157C	30.7942	128.7469	1
YBR158W	41.0627	247.1893	1
YBR159W	145.2771	367.4225	1
YBR160W	56.1911	168.6392	1
YBR161W	12.5568	61.6905	1
YBR162C	336.5213	143.261	1
YBR162WA	570.1071	694.9474	1
YBR163W	4.2175	40.5098	1
YBR164C	146.2662	387.5319	1
YBR165W	24.9102	129.1234	1
YBR166C	37.1167	142.7368	1
YBR167C	27.1682	70.2134	1
YBR168W	5.8011	61.3376	1
YBR169C	17.7099	13.5501	1
YBR170C	36.7474	46.3669	1
YBR171W	139.6644	224.3829	1
YBR172C	28.9125	61.3871	1
YBR173C	223.1779	105.266	1
YBR175W	16.929	204.2785	1
YBR176W	21.6924	84.9192	1
YBR177C	56.3294	51.1743	1
YBR179C	12.6761	29.7682	1
YBR180W	0.3594	1.8619	0
YBR182C	2.7269	30.6075	1
YBR182CA	2.0933	7.1163	0
YBR183W	6.4907	50.0157	1
YBR184W	4.0609	21.7577	1
YBR185C	25.5583	54.4246	1
YBR186W	0.2458	3.5806	0
YBR187W	144.9409	419.9808	1
YBR188C	37.3562	61.7312	1
YBR189W	5513.2457	7796.6178	1
YBR192W	28.4959	136.2773	1
YBR193C	22.0259	41.8969	1
YBR194W	32.5268	94.7816	1
YBR195C	11.8424	65.2345	1
YBR196C	1948.4487	905.7338	1
YBR196CA	0	14.4934	0
YBR196CB	0	9.3586	0
YBR197C	20.1158	22.2865	1
YBR198C	34.3788	29.97	1
YBR199W	65.9739	275.1066	1
YBR200W	24.3743	47.3504	1
YBR200WA	0	1.1992	0
YBR201CA	12.0109	33.0548	0
YBR201W	20.037	134.9802	1
YBR202W	22.4046	52.1971	1
YBR203W	0.7425	4.4713	0
YBR204C	12.5902	49.4479	1
YBR205W	81.831	220.5142	1
YBR207W	21.5024	105.5725	1
YBR208C	6.2492	13.7392	1
YBR210W	38.7498	155.2	1
YBR211C	20.682	110.8984	1
YBR212W	34.8916	13.9725	1
YBR213W	11.718	7.7494	0
YBR214W	12.4804	10.2283	1
YBR215W	22.9343	24.7516	1
YBR216C	14.1391	52.069	1
YBR217W	5.4934	97.1128	1
YBR220C	14.1945	105.3068	1
YBR221C	332.3667	313.2103	1
YBR221WA	0	1.8717	0
YBR222C	64.3546	42.0402	1
YBR223C	3.7786	8.4416	0
YBR225W	5.3357	7.1817	1
YBR227C	30.6975	43.2539	1
YBR228W	4.497	41.2776	1
YBR229C	25.9622	27.6624	1
YBR230C	69.6147	44.3904	1
YBR230WA	38.5966	58.2074	0
YBR231C	23.6867	30.4573	1
YBR233W	20.7181	18.031	1
YBR233WA	55.3185	138.1674	1
YBR234C	110.6674	68.7194	1
YBR235W	5.7598	13.2127	1
YBR236C	29.8367	82.5192	1
YBR237W	7.3523	29.5858	1
YBR238C	13.0391	10.3872	1
YBR239C	4.1445	8.0512	0
YBR240C	0.6087	12.4154	0
YBR241C	5.474	7.9073	0
YBR242W	50.4714	93.0336	1
YBR243C	20.1755	40.5297	1
YBR244W	171.7525	405.8486	1
YBR245C	50.2095	21.7868	1
YBR246W	21.2199	77.4641	1
YBR247C	69.9107	75.2057	1
YBR248C	64.0533	137.8158	1
YBR249C	519.8132	488.3788	1
YBR250W	0.655	4.9623	0
YBR251W	36.7396	126.3061	1
YBR252W	173.8258	282.8969	1
YBR253W	47.0644	152.3816	1
YBR254C	51.3522	153.0388	1
YBR255CA	24.4326	27.2047	0
YBR255W	6.7181	29.3644	1
YBR256C	58.2141	270.1875	1
YBR257W	28.1609	57.3228	1
YBR258C	33.0091	82.7114	1
YBR259W	1.5945	28.3615	1
YBR260C	15.7497	17.9976	1
YBR261C	78.5334	62.2818	1
YBR262C	43.4078	221.3544	1
YBR263W	205.6279	82.1459	1
YBR264C	28.4278	74.5202	1
YBR265W	63.8859	78.2414	1
YBR267W	78.7133	151.7271	1
YBR268W	61.8561	128.2999	1
YBR269C	65.9405	35.3704	1
YBR270C	0.8801	24.3014	1
YBR271W	18.4621	76.3323	1
YBR272C	17.9789	65.0021	1
YBR273C	46.4824	87.7052	1
YBR274W	7.5403	55.435	1
YBR275C	6.3437	11.662	1
YBR276C	4.9295	47.0551	1
YBR278W	25.4343	101.1247	1
YBR279W	46.3151	72.9352	1
YBR280C	4.1969	12.1251	1
YBR281C	18.0482	27.6239	1
YBR282W	70.2804	152.3522	1
YBR283C	169.982	160.0826	1
YBR284W	0.5163	5.6839	0
YBR285W	3.7746	2.7497	0
YBR286W	479.9972	260.0079	1
YBR287W	42.007	60.1131	1
YBR288C	33.75	96.4175	1
YBR289W	17.814	20.6163	1
YBR290W	33.0155	182.6871	1
YBR291C	17.1442	80.3756	1
YBR293W	1.7339	80.6987	1
YBR294W	0.3993	1.784	0
YBR295W	1.2982	7.4561	1
YBR296C	23.7587	146.8128	1
YBR296CA	0	1.6416	0
YBR298C	0	9.8673	0
YCL001W	151.1072	355.1414	1
YCL001WA	0.4444	2.5897	0
YCL001WB	0	0.7793	0
YCL002C	7.5332	110.8412	1
YCL004W	3.5504	11.2398	0
YCL005W	9.6025	75.1348	1
YCL005WA	343.645	359.63	1
YCL008C	12.9756	15.1931	1
YCL009C	255.7427	71.5568	1
YCL010C	21.357	90.9168	1
YCL011C	119.6077	365.0388	1
YCL012C	29.759	24.2599	0
YCL014W	15.57	7.949	1
YCL016C	5.5824	66.6411	1
YCL017C	96.3401	61.4474	1
YCL021WA	0	38.4735	0
YCL024W	7.1464	16.2609	1
YCL025C	12.6701	36.289	1
YCL026CA	1.0592	4.8011	0
YCL026CB	11.651	2.7435	0
YCL027W	12.8449	28.7218	1
YCL028W	179.4841	69.6031	1
YCL029C	24.8981	46.8563	1
YCL030C	201.2941	221.2842	1
YCL031C	73.8683	336.3961	1
YCL032W	9.0936	62.0213	1
YCL033C	60.3573	96.0051	1
YCL034W	44.8317	137.9575	1
YCL035C	283.1225	185.3273	1
YCL036W	8.9594	200.9786	1
YCL037C	322.6109	40.9127	1
YCL038C	7.2665	29.3667	1
YCL039W	8.3763	15.0205	1
YCL043C	702.6895	223.4746	1
YCL044C	20.6844	12.5968	1
YCL045C	83.3772	60.4763	1
YCL047C	19.0571	86.3822	1
YCL048W	0.5916	1.0057	0
YCL049C	7.8881	38.3094	1
YCL050C	359.1232	127.6534	1
YCL051W	13.8712	19.6391	1
YCL052C	13.3289	101.8148	1
YCL054W	83.7635	122.0018	1
YCL055W	33.8882	139.1997	1
YCL056C	14.1547	99.4491	1
YCL057CA	119.8114	118.4047	1
YCL057W	65.2942	36.1071	1
YCL058WA	66.5313	111.7803	1
YCL059C	188.6622	322.7905	1
YCL061C	14.589	12.7109	1
YCL063W	14.0803	29.7108	1
YCL064C	360.8748	476.5944	1
YCR002C	90.0343	85.8018	1
YCR003W	56.5712	215.8177	1
YCR004C	260.3595	208.8638	1
YCR005C	176.5616	2685.1044	1
YCR007C	6.8539	27.1839	0
YCR008W	25.8018	48.6882	1
YCR009C	167.7847	301.4109	1
YCR010C	0.4829	2.1106	0
YCR011C	32.5765	89.7162	1
YCR012W	11386.6901	5095.0541	1
YCR014C	1.1775	38.7736	1
YCR015C	15.5287	74.7881	1
YCR016W	96.1421	134.8123	1
YCR017C	33.5486	49.5088	1
YCR018C	30.8663	140.9107	1
YCR019W	9.989	50.3429	1
YCR020C	1.9033	49.6061	1
YCR020CA	63.619	206.2291	1
YCR020WB	162.1889	326.8053	1
YCR021C	2.6778	10.4038	0
YCR023C	9.7597	47.6166	1
YCR024C	6.6826	12.1705	1
YCR024CA	4409.1031	1248.1014	1
YCR024CB	7.6649	1337.1388	1
YCR026C	16.6354	49.3725	1
YCR027C	26.0996	65.5957	1
YCR028C	16.0561	57.8335	1
YCR028CA	483.0366	251.4937	1
YCR030C	24.9948	13.7855	1
YCR032W	2.6938	12.7133	1
YCR033W	14.4997	24.6875	1
YCR034W	195.5426	173.2764	1
YCR035C	50.2005	220.0135	1
YCR036W	44.9751	164.9659	1
YCR037C	7.6558	81.0044	1
YCR042C	11.612	28.7188	1
YCR043C	134.075	208.0556	1
YCR044C	19.5456	92.8775	1
YCR045C	0.279	1.355	0
YCR046C	52.3522	38.3335	1
YCR047C	41.2374	148.8776	1
YCR048W	19.6636	37.2169	1
YCR051W	104.7836	111.9261	1
YCR052W	43.5347	50.6881	1
YCR053W	493.2761	197.2955	1
YCR054C	13.9973	48.354	1
YCR057C	36.9412	73.2794	1
YCR059C	18.7924	84.5826	1
YCR060W	52.4618	143.9833	1
YCR061W	22.3786	5.698	1
YCR063W	24.6905	14.726	0
YCR065W	50.0584	26.7896	1
YCR066W	5.3445	36.0655	1
YCR067C	27.6419	27.475	1
YCR068W	6.7192	6.7824	0
YCR069W	60.4156	38.4257	1
YCR071C	64.6952	75.95	1
YCR072C	37.2467	84.7607	1
YCR073C	1.4956	12.0725	1
YCR073WA	44.0589	27.195	1
YCR075C	17.5981	100.7743	1
YCR075WA	71.7172	52.2451	1
YCR076C	22.6669	76.1303	1
YCR077C	70.998	38.9164	1
YCR079W	1.0844	19.7113	1
YCR081W	4.8107	10.5136	1
YCR082W	144.7019	219.837	1
YCR083W	58.758	69.5248	1
YCR084C	85.206	34.3752	1
YCR086W	28.6869	28.5607	1
YCR087CA	148.8635	150.2048	1
YCR088W	286.1843	29.2369	1
YCR089W	1.3228	4.1447	1
YCR090C	62.4923	291.141	1
YCR091W	1.2381	3.7002	0
YCR092C	10.1105	21.2123	1
YCR093W	32.9365	15.8219	1
YCR094W	30.8055	34.1722	1
YCR095C	22.1117	132.9034	1
YCR095WA	0	9.9515	0
YCR097W	96.8182	304.7633	1
YCR098C	1.3226	24.1509	1
YCR099C	0	17.8967	0
YCR100C	0.2164	15.341	0
YCR101C	4.1163	13.085	0
YCR105W	0.5685	5.7063	0
YCR106W	1.8137	10.41	1
YDL001W	17.8324	66.3453	1
YDL002C	53.7295	224.4102	1
YDL003W	36.2008	87.6121	1
YDL004W	246.9993	154.8503	1
YDL005C	38.1239	65.2662	1
YDL006W	36.7149	138.6324	1
YDL007W	190.3626	275.7558	1
YDL008W	38.3508	123.3682	1
YDL010W	55.5346	62.2625	1
YDL012C	97.3847	69.802	1
YDL013W	10.2983	85.0784	1
YDL014W	702.6251	391.6089	1
YDL015C	225.1518	323.864	1
YDL017W	10.539	37.5348	1
YDL018C	43.6631	107.794	1
YDL019C	18.7248	18.6554	1
YDL020C	46.3211	90.9876	1
YDL021W	3.517	25.6213	1
YDL022W	120.7717	42.8428	1
YDL024C	0.7317	2.9849	0
YDL025C	11.1662	47.6789	1
YDL027C	9.4536	37.5215	1
YDL028C	11.6693	24.1513	1
YDL029W	114.746	333.1548	1
YDL030W	14.7369	80.1092	1
YDL031W	59.5115	67.6507	1
YDL033C	3.6116	24.2369	1
YDL035C	10.9233	31.6914	1
YDL036C	12.7477	50.1042	1
YDL040C	106.9891	60.1521	1
YDL042C	16.3389	27.5953	1
YDL043C	60.0844	114.2279	1
YDL044C	13.5383	76.3305	1
YDL045C	13.4033	54.0281	1
YDL045WA	88.8737	84.2528	1
YDL046W	125.1288	98.6077	1
YDL047W	47.4802	68.3234	1
YDL048C	1.1183	6.7889	0
YDL049C	2.2938	13.6156	0
YDL051W	316.9815	575.0007	1
YDL052C	73.5415	45.3572	1
YDL053C	89.1022	82.255	1
YDL054C	11.4157	28.8842	1
YDL055C	2200.2125	2060.8977	1
YDL056W	13.6689	29.833	1
YDL057W	7.9223	28.1476	1
YDL058W	34.6394	20.9774	1
YDL059C	8.8898	44.2885	1
YDL060W	44.4751	125.625	1
YDL063C	38.9157	76.3507	1
YDL064W	198.517	90.7145	1
YDL065C	62.5961	95.9601	1
YDL066W	232.5802	88.0953	1
YDL067C	432.7661	262.9959	1
YDL069C	12.2163	59.9083	1
YDL070W	56.9459	116.4693	1
YDL072C	107.1232	192.7709	1
YDL073W	8.7858	71.589	1
YDL074C	38.4948	134.1496	1
YDL075W	6325.8175	3454.5554	1
YDL076C	27.8945	159.1798	1
YDL077C	8.1768	28.211	1
YDL078C	125.0283	249.276	1
YDL079C	0	2.959	0
YDL080C	4.6144	69.5271	1
YDL081C	4922.316	5380.7096	1
YDL084W	715.5902	914.7242	1
YDL085CA	255.514	162.9015	1
YDL085W	0	1.3433	0
YDL086W	60.3047	82.3939	1
YDL087C	12.8213	24.6529	1
YDL088C	30.6231	61.5061	1
YDL089W	12.1703	17.5943	1
YDL090C	17.6323	78.3811	1
YDL091C	8.1271	30.5526	1
YDL092W	140.5609	330.021	1
YDL093W	17.4438	28.1494	1
YDL095W	123.0742	101.9305	1
YDL097C	174.6358	117.0685	1
YDL098C	24.5879	70.2832	1
YDL099W	80.8301	76.3687	1
YDL100C	271.1156	401.2968	1
YDL101C	20.8324	48.7711	1
YDL102W	21.9574	21.996	1
YDL103C	82.1302	83.4006	1
YDL104C	5.5499	31.6908	1
YDL105W	11.067	21.9953	1
YDL106C	30.4009	18.0984	1
YDL107W	9.7442	56.5989	1
YDL108W	19.6151	94.598	1
YDL109C	0.8476	8.8507	0
YDL110C	29.9084	47.0972	1
YDL111C	54.3818	83.3636	1
YDL112W	28.1577	33.2473	1
YDL113C	13.3888	43.904	1
YDL114W	0	1.5091	0
YDL115C	24.4662	105.5985	1
YDL116W	26.4463	65.3204	1
YDL117W	13.0223	42.1627	1
YDL119C	12.9145	88.2412	1
YDL120W	103.2891	116.2876	1
YDL121C	133.6566	311.9296	1
YDL122W	35.0145	79.7139	1
YDL123W	19.4058	31.1012	0
YDL124W	75.5946	59.5924	1
YDL125C	348.725	355.7023	1
YDL126C	433.2392	268.8925	1
YDL127W	16.4239	30.3967	1
YDL128W	52.2962	91.0773	1
YDL129W	13.8554	93.0654	1
YDL130W	3463.1279	2562.704	1
YDL130WA	61.1505	69.296	1
YDL132W	38.881	70.0547	1
YDL133W	13.7876	130.2688	1
YDL135C	179.8653	166.8395	1
YDL138W	1.6179	17.0241	1
YDL139C	20.4963	31.1998	1
YDL140C	74.4476	22.8598	1
YDL141W	22.6557	18.3383	1
YDL142C	15.2105	90.5215	1
YDL143W	187.1124	279.0462	1
YDL144C	19.0238	48.9017	1
YDL145C	108.4082	65.8325	1
YDL146W	5.3012	22.7645	1
YDL147W	232.1912	385.4508	1
YDL148C	81.12	109.5539	1
YDL149W	3.9916	5.1472	1
YDL150W	55.1562	136.1415	1
YDL153C	80.5646	178.2266	1
YDL154W	0.533	17.3057	1
YDL155W	23.7291	112.128	1
YDL156W	10.7621	10.7084	1
YDL157C	302.6756	321.8873	1
YDL159W	15.0317	25.3248	1
YDL160C	215.5284	53.7831	1
YDL160CA	55.5443	94.8231	1
YDL161W	61.2377	71.2017	1
YDL164C	22.7987	30.2615	1
YDL165W	48.5146	162.8518	1
YDL166C	89.6014	167.0062	1
YDL167C	28.3245	100.4144	1
YDL168W	121.6202	97.1229	1
YDL169C	1.2237	1.7828	0
YDL170W	8.4343	33.5259	1
YDL171C	80.4257	34.8301	1
YDL173W	85.9499	165.8441	1
YDL174C	15.8785	37.4236	1
YDL175C	20.6784	56.5863	1
YDL176W	5.9077	29.7258	1
YDL177C	11.2102	157.1074	1
YDL178W	49.64	218.2285	1
YDL179W	37.325	95.4409	1
YDL180W	8.1423	82.494	1
YDL181W	84.8539	54.6899	1
YDL183C	6.8373	38.6018	1
YDL185W	561.2157	227.532	1
YDL186W	0	1.1978	0
YDL189W	31.1678	39.0067	1
YDL190C	26.8443	43.0642	1
YDL192W	1102.7995	2160.2441	1
YDL193W	46.3465	53.1698	1
YDL194W	1.164	4.5225	0
YDL195W	132.8569	24.2485	1
YDL197C	2.871	22.3089	1
YDL198C	72.6781	52.8898	1
YDL199C	2.3952	6.6887	0
YDL200C	26.0904	89.4013	1
YDL201W	98.4346	49.198	1
YDL202W	40.3052	61.7864	1
YDL203C	14.9634	21.5876	1
YDL204W	0.6966	13.1937	0
YDL205C	40.3591	149.0876	1
YDL206W	1.62	17.8331	1
YDL207W	21.6503	56.2843	1
YDL208W	626.8434	935.3131	1
YDL209C	21.7888	91.7101	1
YDL210W	0.24	4.7795	0
YDL211C	4.4144	17.6869	0
YDL212W	146.4415	601.4498	1
YDL213C	143.118	187.3142	1
YDL214C	0.0981	1.1433	0
YDL215C	12.4429	99.8618	1
YDL216C	7.1582	26.3	1
YDL217C	57.9695	82.2207	1
YDL218W	0.2157	4.1898	0
YDL219W	152.2757	229.2115	1
YDL220C	3.8609	5.7695	1
YDL222C	2.2123	4.5126	0
YDL223C	2.0337	5.0339	0
YDL224C	30.8435	22.777	1
YDL225W	59.6923	99.5325	1
YDL226C	164.2111	113.0665	1
YDL227C	58.3592	82.9264	1
YDL230W	12.8612	53.1417	1
YDL231C	1.281	35.6107	1
YDL232W	361.2834	226.8579	1
YDL233W	10.1673	16.2658	1
YDL234C	11.8583	37.2331	1
YDL235C	113.6881	218.4796	1
YDL236W	114.8161	248.5854	1
YDL237W	45.7998	65.7918	1
YDL238C	3.3617	13.6055	0
